,timestep,depth,Salinity,Theta
157,157,-24.117172,35.916645,26.222378
158,158,-24.2676,35.917248,26.219164
159,159,-24.418028,35.91785,26.21595
160,160,-24.568455,35.918457,26.212736
161,161,-24.718884,35.91906,26.209522
162,162,-24.869312,35.919662,26.206308
163,163,-25.01974,35.920303,26.203123
164,164,-25.170168,35.92109,26.200058
165,165,-25.320595,35.921875,26.196995
166,166,-25.471024,35.922665,26.19393
167,167,-25.62145,35.92345,26.190865
168,168,-25.77188,35.924236,26.1878
169,169,-25.922306,35.925026,26.184734
170,170,-26.072735,35.92581,26.18167
171,171,-26.223162,35.926598,26.178604
172,172,-26.37359,35.927387,26.17554
173,173,-26.524017,35.928173,26.172476
174,174,-26.674446,35.92896,26.16941
175,175,-26.824873,35.92975,26.166346
176,176,-26.975302,35.930534,26.16328
177,177,-27.125729,35.93132,26.160215
178,178,-27.276157,35.93211,26.15715
179,179,-27.426584,35.932896,26.154085
180,180,-27.577013,35.93368,26.151022
181,181,-27.72744,35.934467,26.147957
182,182,-27.877869,35.935257,26.144892
183,183,-28.028296,35.936043,26.141827
184,184,-28.178724,35.93683,26.138762
185,185,-28.329151,35.93762,26.135696
186,186,-28.47958,35.938404,26.132631
187,187,-28.630007,35.93919,26.129568
188,188,-28.780436,35.93998,26.126503
189,189,-28.930862,35.940765,26.123438
190,190,-29.081291,35.94155,26.120373
191,191,-29.231718,35.94234,26.117308
192,192,-29.382147,35.943226,26.11391
193,193,-29.532576,35.944424,26.109503
194,194,-29.683002,35.945618,26.105095
195,195,-29.833431,35.946815,26.100687
196,196,-29.983858,35.94801,26.09628
197,197,-30.134287,35.949203,26.091871
198,198,-30.284714,35.9504,26.087463
199,199,-30.435143,35.951595,26.083055
200,200,-30.58557,35.952793,26.078648
201,201,-30.735998,35.953987,26.07424
202,202,-30.886425,35.95518,26.069832
203,203,-31.036854,35.95638,26.065424
204,204,-31.18728,35.957573,26.061016
205,205,-31.33771,35.95877,26.056608
206,206,-31.488136,35.959965,26.0522
207,207,-31.638565,35.96116,26.047792
208,208,-31.788992,35.962357,26.043385
209,209,-31.93942,35.96355,26.038977
210,210,-32.089848,35.964745,26.034569
211,211,-32.240276,35.965942,26.03016
212,212,-32.3907,35.967136,26.025753
213,213,-32.54113,35.968334,26.021345
214,214,-32.69156,35.96953,26.016937
215,215,-32.841988,35.970722,26.01253
216,216,-32.992416,35.97192,26.008121
217,217,-33.14284,35.973114,26.003714
218,218,-33.29327,35.97431,25.999306
219,219,-33.4437,35.975506,25.994898
220,220,-33.594128,35.9767,25.99049
221,221,-33.744553,35.977898,25.986082
222,222,-33.89498,35.97909,25.981674
223,223,-34.04541,35.98029,25.977266
224,224,-34.19584,35.981483,25.972857
225,225,-34.346268,35.983128,25.966898
226,226,-34.496693,35.984955,25.960293
227,227,-34.64712,35.986782,25.953688
228,228,-34.79755,35.988613,25.947083
229,229,-34.94798,35.99044,25.94048
230,230,-35.098404,35.992268,25.933874
231,231,-35.248833,35.9941,25.927269
232,232,-35.39926,35.995926,25.920664
233,233,-35.54969,35.997757,25.914059
234,234,-35.700115,35.999584,25.907455
235,235,-35.850544,36.00141,25.90085
236,236,-36.000973,36.003242,25.894245
237,237,-36.1514,36.00507,25.88764
238,238,-36.301826,36.006897,25.881035
239,239,-36.452255,36.008728,25.874432
240,240,-36.602684,36.010555,25.867826
241,241,-36.753113,36.012386,25.861221
242,242,-36.903538,36.014214,25.854616
243,243,-37.053967,36.01604,25.848011
244,244,-37.204395,36.01787,25.841408
245,245,-37.354824,36.0197,25.834803
246,246,-37.50525,36.021526,25.828197
247,247,-37.655678,36.023357,25.821592
248,248,-37.806107,36.025185,25.814987
249,249,-37.956535,36.02701,25.808382
250,250,-38.10696,36.028843,25.801779
251,251,-38.25739,36.03067,25.795174
252,252,-38.407818,36.0325,25.788568
253,253,-38.558247,36.03433,25.781963
254,254,-38.70867,36.036156,25.77536
255,255,-38.8591,36.037987,25.768755
256,256,-39.00953,36.039814,25.76215
257,257,-39.159958,36.04164,25.755545
258,258,-39.310387,36.043472,25.74894
259,259,-39.46081,36.0453,25.742336
260,260,-39.61124,36.047127,25.735731
261,261,-39.76167,36.048996,25.72885
262,262,-39.912098,36.05098,25.72111
263,263,-40.062523,36.052967,25.71337
264,264,-40.21295,36.05495,25.705631
265,265,-40.36338,36.056934,25.697891
266,266,-40.51381,36.05892,25.690151
267,267,-40.664234,36.060905,25.682413
268,268,-40.814663,36.06289,25.674673
269,269,-40.96509,36.064877,25.666933
270,270,-41.11552,36.06686,25.659193
271,271,-41.265945,36.068844,25.651455
272,272,-41.416374,36.07083,25.643715
273,273,-41.566803,36.072815,25.635975
274,274,-41.71723,36.074802,25.628235
275,275,-41.867657,36.076786,25.620497
276,276,-42.018085,36.07877,25.612757
277,277,-42.168514,36.080757,25.605017
278,278,-42.318943,36.08274,25.597279
279,279,-42.469368,36.084724,25.589539
280,280,-42.619797,36.08671,25.581799
281,281,-42.770226,36.088696,25.574059
282,282,-42.920654,36.09068,25.56632
283,283,-43.07108,36.092667,25.55858
284,284,-43.221508,36.09465,25.55084
285,285,-43.371937,36.096638,25.5431
286,286,-43.522366,36.09862,25.535362
287,287,-43.67279,36.100605,25.527622
288,288,-43.82322,36.102592,25.519882
289,289,-43.973648,36.104576,25.512144
290,290,-44.124077,36.10656,25.504404
291,291,-44.274506,36.108547,25.496664
292,292,-44.42493,36.11053,25.488924
293,293,-44.57536,36.112514,25.481186
294,294,-44.72579,36.114502,25.473446
295,295,-44.876217,36.116486,25.465706
296,296,-45.02664,36.118473,25.457968
297,297,-45.17707,36.120457,25.450228
298,298,-45.3275,36.12244,25.442488
299,299,-45.47793,36.124428,25.434748
300,300,-45.628353,36.12641,25.42701
301,301,-45.77878,36.128395,25.41927
302,302,-45.92921,36.130035,25.411942
303,303,-46.07964,36.131317,25.405039
304,304,-46.230064,36.132603,25.398136
305,305,-46.380493,36.133884,25.391232
306,306,-46.530922,36.13517,25.384329
307,307,-46.68135,36.13645,25.377426
308,308,-46.831776,36.137733,25.370522
309,309,-46.982204,36.13902,25.363619
310,310,-47.132633,36.1403,25.356714
311,311,-47.283062,36.141586,25.349812
312,312,-47.433487,36.142868,25.342909
313,313,-47.583916,36.14415,25.336004
314,314,-47.734344,36.145435,25.329102
315,315,-47.884773,36.146717,25.322197
316,316,-48.0352,36.148003,25.315294
317,317,-48.185627,36.149284,25.308392
318,318,-48.336056,36.150566,25.301487
