timestep,depth,Salinity,lat,lon
131,-20.206049,35.901844,25.601171,-79.479164
132,-20.356476,35.9023,25.601171,-79.479164
133,-20.506905,35.90276,25.601171,-79.479164
134,-20.657331,35.903217,25.601171,-79.479164
135,-20.80776,35.903675,25.601171,-79.479164
136,-20.958187,35.904133,25.601171,-79.479164
137,-21.108616,35.90459,25.601171,-79.479164
138,-21.259043,35.905178,25.601171,-79.479164
139,-21.409472,35.90578,25.601171,-79.479164
140,-21.559898,35.906384,25.601171,-79.479164
141,-21.710327,35.90699,25.601171,-79.479164
142,-21.860754,35.907593,25.601171,-79.479164
143,-22.011183,35.908195,25.601171,-79.479164
144,-22.16161,35.9088,25.601171,-79.479164
145,-22.312038,35.9094,25.601171,-79.479164
146,-22.462465,35.910007,25.601171,-79.479164
147,-22.612894,35.91061,25.601171,-79.479164
148,-22.76332,35.911213,25.601171,-79.479164
149,-22.91375,35.911816,25.601171,-79.479164
150,-23.064177,35.912422,25.601171,-79.479164
151,-23.214605,35.913025,25.601171,-79.479164
152,-23.365032,35.913628,25.601171,-79.479164
153,-23.515461,35.91423,25.601171,-79.479164
154,-23.665888,35.914833,25.601171,-79.479164
155,-23.816317,35.91544,25.601171,-79.479164
156,-23.966743,35.916042,25.601171,-79.479164
157,-24.117172,35.916645,25.601171,-79.479164
158,-24.2676,35.917248,25.601171,-79.479164
159,-24.418028,35.91785,25.601171,-79.479164
160,-24.568455,35.918457,25.601171,-79.479164
161,-24.718884,35.91906,25.601171,-79.479164
162,-24.869312,35.919662,25.601171,-79.479164
163,-25.01974,35.920303,25.601171,-79.479164
164,-25.170168,35.92109,25.601171,-79.479164
165,-25.320595,35.921875,25.601171,-79.479164
166,-25.471024,35.922665,25.601171,-79.479164
167,-25.62145,35.92345,25.601171,-79.479164
168,-25.77188,35.924236,25.601171,-79.479164
169,-25.922306,35.925026,25.601171,-79.479164
170,-26.072735,35.92581,25.601171,-79.479164
171,-26.223162,35.926598,25.601171,-79.479164
172,-26.37359,35.927387,25.601171,-79.479164
173,-26.524017,35.928173,25.601171,-79.479164
174,-26.674446,35.92896,25.601171,-79.479164
175,-26.824873,35.92975,25.601171,-79.479164
176,-26.975302,35.930534,25.601171,-79.479164
177,-27.125729,35.93132,25.601171,-79.479164
178,-27.276157,35.93211,25.601171,-79.479164
179,-27.426584,35.932896,25.601171,-79.479164
180,-27.577013,35.93368,25.601171,-79.479164
181,-27.72744,35.934467,25.601171,-79.479164
182,-27.877869,35.935257,25.601171,-79.479164
183,-28.028296,35.936043,25.601171,-79.479164
184,-28.178724,35.93683,25.601171,-79.479164
185,-28.329151,35.93762,25.601171,-79.479164
186,-28.47958,35.938404,25.601171,-79.479164
187,-28.630007,35.93919,25.601171,-79.479164
188,-28.780436,35.93998,25.601171,-79.479164
189,-28.930862,35.940765,25.601171,-79.479164
190,-29.081291,35.94155,25.601171,-79.479164
191,-29.231718,35.94234,25.601171,-79.479164
192,-29.382147,35.943226,25.601171,-79.479164
193,-29.532576,35.944424,25.601171,-79.479164
194,-29.683002,35.945618,25.601171,-79.479164
195,-29.833431,35.946815,25.601171,-79.479164
196,-29.983858,35.94801,25.601171,-79.479164
197,-30.134287,35.949203,25.601171,-79.479164
198,-30.284714,35.9504,25.601171,-79.479164
199,-30.435143,35.951595,25.601171,-79.479164
200,-30.58557,35.952793,25.601171,-79.479164
201,-30.735998,35.953987,25.601171,-79.479164
202,-30.886425,35.95518,25.601171,-79.479164
203,-31.036854,35.95638,25.601171,-79.479164
204,-31.18728,35.957573,25.601171,-79.479164
205,-31.33771,35.95877,25.601171,-79.479164
206,-31.488136,35.959965,25.601171,-79.479164
207,-31.638565,35.96116,25.601171,-79.479164
208,-31.788992,35.962357,25.601171,-79.479164
209,-31.93942,35.96355,25.601171,-79.479164
210,-32.089848,35.964745,25.601171,-79.479164
211,-32.240276,35.965942,25.601171,-79.479164
212,-32.3907,35.967136,25.601171,-79.479164
213,-32.54113,35.968334,25.601171,-79.479164
214,-32.69156,35.96953,25.601171,-79.479164
215,-32.841988,35.970722,25.601171,-79.479164
216,-32.992416,35.97192,25.601171,-79.479164
217,-33.14284,35.973114,25.601171,-79.479164
218,-33.29327,35.97431,25.601171,-79.479164
219,-33.4437,35.975506,25.601171,-79.479164
220,-33.594128,35.9767,25.601171,-79.479164
221,-33.744553,35.977898,25.601171,-79.479164
222,-33.89498,35.97909,25.601171,-79.479164
223,-34.04541,35.98029,25.601171,-79.479164
224,-34.19584,35.981483,25.601171,-79.479164
225,-34.346268,35.983128,25.601171,-79.479164
226,-34.496693,35.984955,25.601171,-79.479164
227,-34.64712,35.986782,25.601171,-79.479164
228,-34.79755,35.988613,25.601171,-79.479164
229,-34.94798,35.99044,25.601171,-79.479164
230,-35.098404,35.992268,25.601171,-79.479164
231,-35.248833,35.9941,25.601171,-79.479164
232,-35.39926,35.995926,25.601171,-79.479164
233,-35.54969,35.997757,25.601171,-79.479164
234,-35.700115,35.999584,25.601171,-79.479164
235,-35.850544,36.00141,25.601171,-79.479164
236,-36.000973,36.003242,25.601171,-79.479164
237,-36.1514,36.00507,25.601171,-79.479164
238,-36.301826,36.006897,25.601171,-79.479164
239,-36.452255,36.008728,25.601171,-79.479164
240,-36.602684,36.010555,25.601171,-79.479164
241,-36.753113,36.012386,25.601171,-79.479164
242,-36.903538,36.014214,25.601171,-79.479164
243,-37.053967,36.01604,25.601171,-79.479164
244,-37.204395,36.01787,25.601171,-79.479164
245,-37.354824,36.0197,25.601171,-79.479164
246,-37.50525,36.021526,25.601171,-79.479164
247,-37.655678,36.023357,25.601171,-79.479164
248,-37.806107,36.025185,25.601171,-79.479164
249,-37.956535,36.02701,25.601171,-79.479164
250,-38.10696,36.028843,25.601171,-79.479164
251,-38.25739,36.03067,25.601171,-79.479164
252,-38.407818,36.0325,25.601171,-79.479164
253,-38.558247,36.03433,25.601171,-79.479164
254,-38.70867,36.036156,25.601171,-79.479164
255,-38.8591,36.037987,25.601171,-79.479164
256,-39.00953,36.039814,25.601171,-79.479164
257,-39.159958,36.04164,25.601171,-79.479164
258,-39.310387,36.043472,25.601171,-79.479164
259,-39.46081,36.0453,25.601171,-79.479164
260,-39.61124,36.047127,25.601171,-79.479164
261,-39.76167,36.048996,25.601171,-79.479164
262,-39.912098,36.05098,25.601171,-79.479164
263,-40.062523,36.052967,25.601171,-79.479164
264,-40.21295,36.05495,25.601171,-79.479164
265,-40.36338,36.056934,25.601171,-79.479164
266,-40.51381,36.05892,25.601171,-79.479164
267,-40.664234,36.060905,25.601171,-79.479164
268,-40.814663,36.06289,25.601171,-79.479164
269,-40.96509,36.064877,25.601171,-79.479164
270,-41.11552,36.06686,25.601171,-79.479164
271,-41.265945,36.068844,25.601171,-79.479164
272,-41.416374,36.07083,25.601171,-79.479164
273,-41.566803,36.072815,25.601171,-79.479164
274,-41.71723,36.074802,25.601171,-79.479164
275,-41.867657,36.076786,25.601171,-79.479164
276,-42.018085,36.07877,25.601171,-79.479164
277,-42.168514,36.080757,25.601171,-79.479164
278,-42.318943,36.08274,25.601171,-79.479164
279,-42.469368,36.084724,25.601171,-79.479164
280,-42.619797,36.08671,25.601171,-79.479164
281,-42.770226,36.088696,25.601171,-79.479164
282,-42.920654,36.09068,25.601171,-79.479164
283,-43.07108,36.092667,25.601171,-79.479164
284,-43.221508,36.09465,25.601171,-79.479164
285,-43.371937,36.096638,25.601171,-79.479164
286,-43.522366,36.09862,25.601171,-79.479164
287,-43.67279,36.100605,25.601171,-79.479164
288,-43.82322,36.102592,25.601171,-79.479164
