,depth,salinity
0,-0.5,36.459949493394035
1,-0.9280628248875243,36.459801461427055
2,-1.3561256497750487,36.459653429460076
3,-1.7841884746625731,36.45954799071706
4,-2.2122512995500974,36.45948508274947
5,-2.6403141244376216,36.459422174781864
6,-3.0683769493251463,36.45937277251227
7,-3.4964397742126705,36.45933063238068
8,-3.9245025991001947,36.45928849224908
9,-4.352565423987719,36.45924962283418
10,-4.780628248875243,36.45921583807976
11,-5.208691073762767,36.459182053325335
12,-5.6367538986502925,36.45914826857092
13,-6.064816723537817,36.45911840577401
14,-6.492879548425341,36.459090515502645
15,-6.920942373312865,36.45906262523129
16,-7.349005198200389,36.459034734959936
17,-7.777068023087914,36.45900760816519
18,-8.205130847975438,36.45898151291533
19,-8.633193672862962,36.45895541766547
20,-9.061256497750486,36.45892932241561
21,-9.48931932263801,36.45890322716575
22,-9.917382147525535,36.45887652797035
23,-10.345444972413059,36.4588494282851
24,-10.773507797300585,36.45882232859985
25,-11.20157062218811,36.4587952289146
26,-11.629633447075634,36.458768129229355
27,-12.057696271963158,36.4587405737076
28,-12.485759096850682,36.45870938290783
29,-12.913821921738206,36.458678192108046
30,-13.34188474662573,36.45864700130827
31,-13.769947571513255,36.4586158105085
32,-14.198010396400779,36.458584619708716
33,-14.626073221288303,36.45855342890894
34,-15.054136046175827,36.458508924154906
35,-15.482198871063352,36.458462500350684
36,-15.910261695950876,36.458416076546456
37,-16.3383245208384,36.458369652742235
38,-16.766387345725924,36.458323228938006
39,-17.19445017061345,36.458276805133785
40,-17.622512995500973,36.45823038132956
41,-18.0505758203885,36.45812005999282
42,-18.47863864527602,36.45799448671977
43,-18.906701470163547,36.45786891344671
44,-19.33476429505107,36.45774334017365
45,-19.762827119938596,36.4576177669006
46,-20.190889944826118,36.45749219362754
47,-20.618952769713644,36.45736662035448
48,-21.04701559460117,36.457241047081425
49,-21.475078419488693,36.45730109550466
50,-21.90314124437622,36.45740249349644
51,-22.33120406926374,36.457503891488216
52,-22.759266894151267,36.45760528947999
53,-23.18732971903879,36.45770668747177
54,-23.615392543926315,36.457808085463554
55,-24.043455368813838,36.45790948345533
56,-24.471518193701364,36.45801088144711
57,-24.899581018588886,36.458112279438886
58,-25.327643843476412,36.46119002151891
59,-25.755706668363935,36.4650648095363
60,-26.18376949325146,36.46893959755369
61,-26.611832318138983,36.47281438557108
62,-27.03989514302651,36.47668917358847
63,-27.46795796791403,36.48056396160586
64,-27.896020792801558,36.48443874962325
65,-28.324083617689084,36.488313537640636
66,-28.752146442576606,36.49218832565803
67,-29.180209267464132,36.49606311367542
68,-29.608272092351655,36.50205989199539
69,-30.03633491723918,36.509384889463476
70,-30.464397742126703,36.516709886931565
71,-30.89246056701423,36.524034884399654
72,-31.32052339190175,36.53135988186774
73,-31.748586216789278,36.53868487933583
74,-32.1766490416768,36.546009876803915
75,-32.60471186656432,36.553334874272004
76,-33.03277469145185,36.56065987174009
77,-33.460837516339375,36.56798486920818
78,-33.8889003412269,36.57530986667627
79,-34.31696316611442,36.58240429854566
80,-34.745025991001945,36.58844688776457
81,-35.17308881588947,36.59448947698348
82,-35.601151640777,36.60053206620239
83,-36.02921446566452,36.6065746554213
84,-36.45727729055204,36.61261724464021
85,-36.88534011543957,36.61865983385912
86,-37.313402940327094,36.62470242307803
87,-37.74146576521462,36.63074501229694
88,-38.16952859010214,36.63678760151585
89,-38.597591414989665,36.642830190734756
90,-39.02565423987719,36.64887277995367
91,-39.45371706476472,36.65491536917258
92,-39.881779889652236,36.65954133250384
93,-40.30984271453976,36.66171608601684
94,-40.73790553942729,36.663890839529834
95,-41.165968364314814,36.66606559304282
96,-41.59403118920234,36.66824034655582
97,-42.02209401408986,36.670415100068816
98,-42.450156838977385,36.672589853581805
99,-42.87821966386491,36.6747646070948
100,-43.30628248875244,36.6769393606078
101,-43.734345313639956,36.67911411412079
102,-44.16240813852748,36.68128886763378
103,-44.59047096341501,36.68346362114678
104,-45.018533788302534,36.685638374659774
105,-45.44659661319005,36.68781312817276
106,-45.87465943807758,36.689892389451984
107,-46.302722262965105,36.68998795230877
108,-46.73078508785263,36.69008351516556
109,-47.15884791274015,36.69017907802235
110,-47.586910737627676,36.69027464087913
111,-48.0149735625152,36.690370203735924
112,-48.44303638740273,36.69046576659271
113,-48.871099212290254,36.6905613294495
114,-49.29916203717777,36.690656892306286
115,-49.7272248620653,36.69075245516307
116,-50.155287686952825,36.690848018019864
117,-50.58335051184035,36.69094358087665
118,-51.01141333672787,36.69103914373344
119,-51.439476161615396,36.691134706590226
120,-51.86753898650292,36.69123026944702
121,-52.29560181139045,36.691325832303804
122,-52.72366463627797,36.691439344551874
123,-53.15172746116549,36.691763133713174
124,-53.57979028605302,36.69208692287447
125,-54.007853110940545,36.69241071203577
126,-54.43591593582806,36.69273450119707
127,-54.86397876071559,36.69305829035837
128,-55.292041585603116,36.69338207951967
129,-55.72010441049064,36.69370586868097
130,-56.14816723537817,36.69402965784227
131,-56.57623006026569,36.69435344700357
132,-57.00429288515321,36.69467723616487
133,-57.43235571004074,36.69500102532617
134,-57.860418534928264,36.69532481448747
135,-58.28848135981578,36.69564860364877
136,-58.71654418470331,36.69597239281008
137,-59.144607009590835,36.69629618197138
138,-59.57266983447836,36.69661997113268
139,-60.00073265936588,36.696943760293976
140,-60.428795484253406,36.697511978458806
141,-60.85685830914093,36.69853894686834
142,-61.28492113402846,36.69956591527787
143,-61.71298395891598,36.70059288368741
144,-62.1410467838035,36.70161985209695
145,-62.56910960869103,36.70264682050648
