time,N,NE,E,SE,S,SW,W,NW
2023-12-06 00:07:36.000000000,,,,,,,,
2023-12-06 00:08:47.926656480,0.9667106823474279,0.9537042281442043,0.9716719490034252,0.9577268219178174,0.9528219507906892,0.9525466568491405,0.979166548667554,0.9867182518552278
2023-12-06 00:09:59.853312960,0.9669882197736596,0.9537042281442043,0.9711168741509619,0.9582818967702807,0.9530994882169208,0.9525466568491405,0.979166548667554,0.9861631770027645
2023-12-06 00:11:11.779969440,0.9672657571998912,0.9537042281442043,0.9705617992984986,0.9588369716227441,0.9533770256431525,0.9525466568491405,0.979166548667554,0.9856081021503011
2023-12-06 00:12:23.706625920,0.9675432946261229,0.9537042281442043,0.9700067244460353,0.9593920464752074,0.9536545630693841,0.9525466568491405,0.979166548667554,0.9850530272978378
2023-12-06 00:13:35.633282400,0.9673646528186015,0.9534759212618628,0.9703640080610781,0.9594913766248477,0.9537042281442043,0.9525466568491405,0.9787100745401077,0.9854103109128807
2023-12-06 00:14:47.559938880,0.9670865861548593,0.9531978545981207,0.9709201413885623,0.9594913766248477,0.9537042281442043,0.9525466568491405,0.9781541112839774,0.9859664442403648
2023-12-06 00:15:59.486595360,0.9668085194911172,0.9529197879343786,0.9714762747160466,0.9594913766248477,0.9537042281442043,0.9525466568491405,0.9775981480278472,0.9865225775678491
2023-12-06 00:17:11.413251840,0.966530452827375,0.9526417212706364,0.9720324080435307,0.9594913766248477,0.9537042281442043,0.9525466568491405,0.9770421847717169,0.9870787108953333
2023-12-06 00:18:23.339908320,0.9662528982521921,0.9530943506763628,0.9720399350497549,0.9598564686153024,0.9544344121251137,0.9525466568491405,0.9766695122353345,0.9869036360647899
2023-12-06 00:19:35.266564800,0.9659756096923433,0.9539265557543912,0.9717624767906652,0.960411215434241,0.9555439057629909,0.9525466568491405,0.9763920539762447,0.9863487195466103
2023-12-06 00:20:47.193221280,0.9656983211324945,0.9547587608324196,0.9714850185315753,0.9609659622531795,0.956653399400868,0.9525466568491405,0.9761145957171549,0.9857938030284307
2023-12-06 00:21:59.119877760,0.9654210325726458,0.9555909659104479,0.9712075602724856,0.9615207090721182,0.9577628930387452,0.9525466568491405,0.9758371374580651,0.985238886510251
2023-12-06 00:23:11.046534240,0.9654132471454039,0.9560186627396562,0.9709301611023172,0.9614013977528751,0.9580635708060539,0.952411852359999,0.9756945427770383,0.9849536971481975
2023-12-06 00:24:22.973190720,0.9656904142144678,0.9560186627396562,0.970652824408364,0.9605693876710154,0.9575090670430366,0.9521345156660458,0.9756945427770383,0.9849536971481975
2023-12-06 00:25:34.899847201,0.9659675812835357,0.9560186627396562,0.970375487714407,0.9597373775891441,0.9569545632800117,0.9518571789720887,0.9756945427770383,0.9849536971481975
2023-12-06 00:26:46.826503681,0.9662447483525997,0.9560186627396562,0.9700981510204537,0.9589053675072844,0.9564000595169945,0.9515798422781354,0.9756945427770383,0.9849536971481975
2023-12-06 00:27:58.753160161,0.9664353884058792,0.9558452590119051,0.9699941226827128,0.9586800108803795,0.9562788478986097,0.9514758139403945,0.9756945427770383,0.9848670218067642
2023-12-06 00:29:10.679816641,0.9664353884058792,0.9552898047118831,0.9702719347905548,0.959791259311748,0.9571122842221361,0.9517536260482367,0.9756945427770383,0.9845893796145844
2023-12-06 00:30:22.606473121,0.9664353884058792,0.954734350411861,0.970549746898397,0.9609025077431166,0.9579457205456625,0.9520314381560788,0.9756945427770383,0.9843117374224045
2023-12-06 00:31:34.533129601,0.9664353884058792,0.9541788961118391,0.9708275590062392,0.962013756174485,0.9587791568691889,0.9523092502639209,0.9756945427770383,0.9840340952302247
2023-12-06 00:32:46.459786081,0.9664757534835299,0.9537445685337341,0.971024600513808,0.9629633825153635,0.9594509868590761,0.9525466568491405,0.9756945427770383,0.9838371742373393
2023-12-06 00:33:58.386442561,0.966753287508027,0.9540219328126506,0.9707470664893109,0.9629633825153635,0.9591732830889983,0.9525466568491405,0.9756945427770383,0.9841145385162557
2023-12-06 00:35:10.313099041,0.9670308215325242,0.954299297091567,0.9704695324648137,0.9629633825153635,0.9588955793189204,0.9525466568491405,0.9756945427770383,0.9843919027951722
2023-12-06 00:36:22.239755521,0.9673083555570214,0.9545766613704835,0.9701919984403166,0.9629633825153635,0.9586178755488425,0.9525466568491405,0.9756945427770383,0.9846692670740886
2023-12-06 00:37:34.166412001,0.9675858895815186,0.9548540256493999,0.9699144644158194,0.9629633825153635,0.9583401717787646,0.9525466568491405,0.9756945427770383,0.9849466313530051
2023-12-06 00:38:46.093068481,0.9673230373229332,0.9551310138226021,0.9696376370085246,0.9632331398032339,0.9586031848032573,0.9522767344711307,0.9756945427770383,0.9849536971481975
2023-12-06 00:39:58.019724961,0.9670460589814026,0.9554079921641327,0.9693608280727074,0.963509948739051,0.9588803325505014,0.9519997561296001,0.9756945427770383,0.9849536971481975
2023-12-06 00:41:09.946381441,0.966769080639872,0.9556849705056634,0.9690840191368904,0.9637867576748681,0.9591574802977455,0.9517227777880695,0.9756945427770383,0.9849536971481975
2023-12-06 00:42:21.873037921,0.9664921022983414,0.955961948847194,0.9688072102010732,0.9640635666106853,0.9594346280449895,0.9514457994465388,0.9756945427770383,0.9849536971481975
2023-12-06 00:43:33.799694402,0.9662143738794083,0.9555764984269064,0.968308231423449,0.9643415308618386,0.9594913766248477,0.9522735494393844,0.9756945427770383,0.9851748469344764
2023-12-06 00:44:45.726350882,0.9659364523298621,0.9550204852411864,0.9677520481511015,0.9646197925846399,0.9594913766248477,0.9533857458974517,0.9756945427770383,0.9854529385706502
