,depth,pressure,temperature,glitter,salinity,U_current,V_current,W_current,buoy_height,buoy_temp,buoy_windspeed,seismic,rain,N,NE,E,SE,S,SW,W,NW,Lizzy,Perry,BentHighNick
0,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.9252694509928864,0.7208735930219784,0.8878674207808117,0.9484673327006272,0.9339367001786408,0.9037581033427448,0.8510556133217976,0.8573006401890837,0.0,0.0,0.0
1,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.9252694509928864,0.7208735930219784,0.8878674207808117,0.9484673327006272,0.9339367001786408,0.9037581033427448,0.8510556133217976,0.8573006401890837,0.0,0.0,0.0
2,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.9109864511457731,0.731477590225308,0.8980386058241697,0.947601576001984,0.9339367001786408,0.9052729128079704,0.8523540498017124,0.8640093279526688,0.0,0.0,0.0
3,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.8967034512988584,0.7420815874284901,0.9082097908673862,0.9467358193033528,0.9339367001786408,0.9067877222731752,0.8536524862816092,0.8707180157161606,0.0,0.0,0.0
4,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.8824204514517451,0.7526855846318197,0.918380975910744,0.9458700626047094,0.9339367001786408,0.9083025317384008,0.854950922761524,0.8774267034797456,0.0,0.0,0.0
5,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.8707151949937234,0.773996854279793,0.9215870065417456,0.94430175179088,0.9325370393958043,0.91157192363725,0.856078673872104,0.8785585763538044,0.0,0.0,0.0
6,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.8596335683509126,0.7978985192198028,0.9231079672085524,0.9425634730527432,0.9307987606576676,0.9152657991848536,0.8571651313125024,0.8783412582824744,0.0,0.0,0.0
7,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,1.0,0.0,0,0.8485519417082561,0.8218001841594802,0.924628927875338,0.9408251943146306,0.929060481919555,0.9189596747324058,0.8582515887528857,0.8781239402111475,0.0,0.0,0.0
8,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9899859829016656,0.0,0,0.8374703150654454,0.84570184909949,0.9261498885421448,0.9390869155764938,0.9273222031814184,0.9226535502800094,0.859338046193284,0.8779066221398175,0.0,0.0,0.0
9,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9773705944007376,0.0,0,0.8233583995343486,0.8587378496959507,0.9294712562796796,0.9381842962437364,0.927529267487,0.9256468093444532,0.8606998280722479,0.8801865540258367,0.0,0.0,0.0
10,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9647552058998092,0.0,0,0.8075442415060885,0.8656701432565297,0.9338039894484272,0.9377511024362788,0.9288291139407632,0.9282465022519798,0.86221627142974,0.883869297709855,0.0,0.0,0.0
11,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9521398173988812,0.0,0,0.7917300834776083,0.8726024368172052,0.938136722617235,0.9373179086288153,0.9301289603945446,0.9308461951595426,0.8637327147872532,0.8875520413939245,0.0,0.0,0.0
12,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.939524428897953,0.0,0,0.7759159254493481,0.8795347303777842,0.9424694557859826,0.9368847148213576,0.931428806848308,0.9334458880670692,0.8652491581447453,0.8912347850779428,0.0,0.0,0.0
13,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9269090403970248,0.0,0,0.769125659171124,0.8844617032338811,0.9450976525233132,0.936351163726622,0.9321270425078568,0.9359453042558856,0.8738848252261247,0.8950179110374074,0.0,0.0,0.0
14,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,1.0,0.7083333333333329,0.9142936518960968,0.0,0,0.7728086142318614,0.887061280308165,0.9457475467918844,0.93570113693475,0.9321270425078568,0.93832833825618,0.8907831363953793,0.8989175416954355,0.0,0.0,0.0
15,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,0.9949038060841784,0.7066346020280592,0.9090909090909092,0.0,0,0.7764915692926501,0.8896608573824852,0.9463974410604644,0.9350511101428688,0.9321270425078568,0.9407113722565076,0.907681447564869,0.902817172353518,0.0,0.0,0.0
16,1.0,0.0,0.9994265742196546,0.0,0.8374722880747689,0.0,0.8676844116697328,1.0,0.9862307264897902,0.7037435754965966,0.9090909090909092,0.0,0,0.7801745243533876,0.8922604344567692,0.9470473353290352,0.9344010833509968,0.9321270425078568,0.943094406256802,0.9245797587341238,0.906716803011546,0.0,0.0,0.0
