time,step,points_index,CMI_C10,t,y,x,y_image,x_image
0,0,0,254.57645,2023-12-10 00:07:36.482733056,0.05894,0.022260003,0.08624,-0.03136
0,0,1,254.327,2023-12-10 00:07:36.482733056,0.05894,0.022316001,0.08624,-0.03136
0,0,2,254.2272,2023-12-10 00:07:36.482733056,0.058996007,0.022316001,0.08624,-0.03136
0,0,3,254.776,2023-12-10 00:07:36.482733056,0.059052005,0.022316001,0.08624,-0.03136
0,0,4,254.57645,2023-12-10 00:07:36.482733056,0.059052005,0.022260003,0.08624,-0.03136
0,0,5,255.12521,2023-12-10 00:07:36.482733056,0.059052005,0.022203997,0.08624,-0.03136
0,0,6,254.776,2023-12-10 00:07:36.482733056,0.058996007,0.022203997,0.08624,-0.03136
0,0,7,255.22499,2023-12-10 00:07:36.482733056,0.05894,0.022203997,0.08624,-0.03136
0,1,0,255.77377,2023-12-10 00:07:36.482733056,0.058884002,0.022260003,0.08624,-0.03136
0,1,1,254.52655,2023-12-10 00:07:36.482733056,0.058884002,0.022372,0.08624,-0.03136
0,1,2,254.67621,2023-12-10 00:07:36.482733056,0.058996007,0.022372,0.08624,-0.03136
0,1,3,255.62411,2023-12-10 00:07:36.482733056,0.059108004,0.022372,0.08624,-0.03136
0,1,4,255.32477,2023-12-10 00:07:36.482733056,0.059108004,0.022260003,0.08624,-0.03136
0,1,5,256.72168,2023-12-10 00:07:36.482733056,0.059108004,0.022147998,0.08624,-0.03136
0,1,6,255.97333,2023-12-10 00:07:36.482733056,0.058996007,0.022147998,0.08624,-0.03136
0,1,7,258.21835,2023-12-10 00:07:36.482733056,0.058884002,0.022147998,0.08624,-0.03136
0,2,0,258.06866,2023-12-10 00:07:36.482733056,0.058828004,0.022260003,0.08624,-0.03136
0,2,1,255.02544,2023-12-10 00:07:36.482733056,0.058828004,0.022427998,0.08624,-0.03136
0,2,2,254.62633,2023-12-10 00:07:36.482733056,0.058996007,0.022427998,0.08624,-0.03136
0,2,3,256.67178,2023-12-10 00:07:36.482733056,0.059164003,0.022427998,0.08624,-0.03136
0,2,4,255.02544,2023-12-10 00:07:36.482733056,0.059164003,0.022260003,0.08624,-0.03136
0,2,5,257.0709,2023-12-10 00:07:36.482733056,0.059164003,0.022092,0.08624,-0.03136
0,2,6,257.37024,2023-12-10 00:07:36.482733056,0.058996007,0.022092,0.08624,-0.03136
0,2,7,258.56757,2023-12-10 00:07:36.482733056,0.058828004,0.022092,0.08624,-0.03136
0,3,0,258.61746,2023-12-10 00:07:36.482733056,0.058772005,0.022260003,0.08624,-0.03136
0,3,1,255.27489,2023-12-10 00:07:36.482733056,0.058772005,0.022483997,0.08624,-0.03136
0,3,2,254.67621,2023-12-10 00:07:36.482733056,0.058996007,0.022483997,0.08624,-0.03136
0,3,3,256.6219,2023-12-10 00:07:36.482733056,0.05922,0.022483997,0.08624,-0.03136
0,3,4,255.42455,2023-12-10 00:07:36.482733056,0.05922,0.022260003,0.08624,-0.03136
0,3,5,257.5698,2023-12-10 00:07:36.482733056,0.05922,0.022036001,0.08624,-0.03136
0,3,6,257.919,2023-12-10 00:07:36.482733056,0.058996007,0.022036001,0.08624,-0.03136
0,3,7,258.56757,2023-12-10 00:07:36.482733056,0.058772005,0.022036001,0.08624,-0.03136
0,4,0,258.61746,2023-12-10 00:07:36.482733056,0.058716007,0.022260003,0.08624,-0.03136
0,4,1,255.37466,2023-12-10 00:07:36.482733056,0.058716007,0.022540003,0.08624,-0.03136
0,4,2,254.52655,2023-12-10 00:07:36.482733056,0.058996007,0.022540003,0.08624,-0.03136
0,4,3,256.07312,2023-12-10 00:07:36.482733056,0.059276007,0.022540003,0.08624,-0.03136
0,4,4,256.123,2023-12-10 00:07:36.482733056,0.059276007,0.022260003,0.08624,-0.03136
0,4,5,257.76935,2023-12-10 00:07:36.482733056,0.059276007,0.021980003,0.08624,-0.03136
0,4,6,258.0188,2023-12-10 00:07:36.482733056,0.058996007,0.021980003,0.08624,-0.03136
0,4,7,258.81702,2023-12-10 00:07:36.482733056,0.058716007,0.021980003,0.08624,-0.03136
0,5,0,258.61746,2023-12-10 00:07:36.482733056,0.05866,0.022260003,0.08624,-0.03136
0,5,1,256.47223,2023-12-10 00:07:36.482733056,0.05866,0.022596002,0.08624,-0.03136
0,5,2,254.07755,2023-12-10 00:07:36.482733056,0.058996007,0.022596002,0.08624,-0.03136
0,5,3,254.57645,2023-12-10 00:07:36.482733056,0.059332006,0.022596002,0.08624,-0.03136
0,5,4,255.37466,2023-12-10 00:07:36.482733056,0.059332006,0.022260003,0.08624,-0.03136
0,5,5,258.26825,2023-12-10 00:07:36.482733056,0.059332006,0.021924004,0.08624,-0.03136
0,5,6,258.26825,2023-12-10 00:07:36.482733056,0.058996007,0.021924004,0.08624,-0.03136
0,5,7,258.9168,2023-12-10 00:07:36.482733056,0.05866,0.021924004,0.08624,-0.03136
0,6,0,258.56757,2023-12-10 00:07:36.482733056,0.058604002,0.022260003,0.08624,-0.03136
0,6,1,256.42233,2023-12-10 00:07:36.482733056,0.058604002,0.022652,0.08624,-0.03136
0,6,2,255.17511,2023-12-10 00:07:36.482733056,0.058996007,0.022652,0.08624,-0.03136
0,6,3,255.72389,2023-12-10 00:07:36.482733056,0.059388004,0.022652,0.08624,-0.03136
0,6,4,256.07312,2023-12-10 00:07:36.482733056,0.059388004,0.022260003,0.08624,-0.03136
0,6,5,258.21835,2023-12-10 00:07:36.482733056,0.059388004,0.021867998,0.08624,-0.03136
0,6,6,258.368,2023-12-10 00:07:36.482733056,0.058996007,0.021867998,0.08624,-0.03136
0,6,7,259.06647,2023-12-10 00:07:36.482733056,0.058604002,0.021867998,0.08624,-0.03136
0,7,0,258.5177,2023-12-10 00:07:36.482733056,0.058548003,0.022260003,0.08624,-0.03136
0,7,1,255.674,2023-12-10 00:07:36.482733056,0.058548003,0.022707999,0.08624,-0.03136
0,7,2,255.27489,2023-12-10 00:07:36.482733056,0.058996007,0.022707999,0.08624,-0.03136
0,7,3,258.61746,2023-12-10 00:07:36.482733056,0.059444003,0.022707999,0.08624,-0.03136
0,7,4,257.4201,2023-12-10 00:07:36.482733056,0.059444003,0.022260003,0.08624,-0.03136
