depth,lat,lon,getitem-be70884a9fcd6b8bb0d4bffa99fceec4
-0.5,25.601171,-79.479164,26.47888
-0.61346734,25.601171,-79.479164,26.479599
-0.7269346,25.601171,-79.479164,26.480318
-0.8404019,25.601171,-79.479164,26.481035
-0.9538692,25.601171,-79.479164,26.481754
-1.0673366,25.601171,-79.479164,26.482473
-1.1808038,25.601171,-79.479164,26.483192
-1.2942711,25.601171,-79.479164,26.48391
-1.4077384,25.601171,-79.479164,26.484629
-1.5212058,25.601171,-79.479164,26.485348
-1.6346731,25.601171,-79.479164,26.485847
-1.7481403,25.601171,-79.479164,26.486183
-1.8616077,25.601171,-79.479164,26.486517
-1.975075,25.601171,-79.479164,26.486853
-2.0885422,25.601171,-79.479164,26.487186
-2.2020097,25.601171,-79.479164,26.487522
-2.315477,25.601171,-79.479164,26.487856
-2.428944,25.601171,-79.479164,26.488192
-2.5424116,25.601171,-79.479164,26.488525
-2.6558788,25.601171,-79.479164,26.488861
-2.7693462,25.601171,-79.479164,26.489195
-2.8828135,25.601171,-79.479164,26.489403
-2.9962807,25.601171,-79.479164,26.48958
-3.1097481,25.601171,-79.479164,26.48976
-3.2232153,25.601171,-79.479164,26.489939
-3.3366826,25.601171,-79.479164,26.490118
-3.45015,25.601171,-79.479164,26.490297
-3.5636172,25.601171,-79.479164,26.490475
-3.6770844,25.601171,-79.479164,26.490654
-3.790552,25.601171,-79.479164,26.490833
-3.904019,25.601171,-79.479164,26.491013
-4.0174866,25.601171,-79.479164,26.491192
-4.130954,25.601171,-79.479164,26.49137
-4.244421,25.601171,-79.479164,26.491467
-4.357888,25.601171,-79.479164,26.49149
-4.4713554,25.601171,-79.479164,26.491512
-4.584823,25.601171,-79.479164,26.491533
-4.6982903,25.601171,-79.479164,26.491556
-4.8117576,25.601171,-79.479164,26.49158
-4.925225,25.601171,-79.479164,26.491602
-5.0386925,25.601171,-79.479164,26.491623
-5.1521597,25.601171,-79.479164,26.491646
-5.265627,25.601171,-79.479164,26.491669
-5.379094,25.601171,-79.479164,26.491692
-5.4925613,25.601171,-79.479164,26.491713
-5.6060286,25.601171,-79.479164,26.491735
-5.7194963,25.601171,-79.479164,26.491758
-5.8329635,25.601171,-79.479164,26.491589
-5.9464307,25.601171,-79.479164,26.491203
-6.059898,25.601171,-79.479164,26.490818
-6.173365,25.601171,-79.479164,26.49043
-6.286833,25.601171,-79.479164,26.490046
-6.4003,25.601171,-79.479164,26.489658
-6.5137672,25.601171,-79.479164,26.489273
-6.6272345,25.601171,-79.479164,26.488886
-6.7407017,25.601171,-79.479164,26.4885
-6.854169,25.601171,-79.479164,26.488113
-6.9676366,25.601171,-79.479164,26.487728
-7.081104,25.601171,-79.479164,26.48734
-7.194571,25.601171,-79.479164,26.486956
-7.308038,25.601171,-79.479164,26.486568
