time,reflectivity_normalized,rain
2024-10-17 00:51:16.000000000,,0
2024-10-17 00:51:25.353938046,0.226469305925621,0
2024-10-17 00:51:34.707876093,0.2246291508783611,0
2024-10-17 00:51:44.061814140,0.22278899583110126,0
2024-10-17 00:51:53.415752187,0.22094884078384142,0
2024-10-17 00:52:02.769690234,0.21910868573658152,0
2024-10-17 00:52:12.123628281,0.21726853068932167,0
2024-10-17 00:52:21.477566328,0.2154283756420618,0
2024-10-17 00:52:30.831504375,0.21358822059480193,0
2024-10-17 00:52:40.185442422,0.21174806554754205,0
2024-10-17 00:52:49.539380469,0.2099079105002822,0
2024-10-17 00:52:58.893318516,0.20806775545302233,0
2024-10-17 00:53:08.247256563,0.20622760040576246,0
2024-10-17 00:53:17.601194610,0.20438744535850262,0
2024-10-17 00:53:26.955132657,0.20254729031124277,0
2024-10-17 00:53:36.309070704,0.20070713526398287,0
2024-10-17 00:53:45.663008751,0.19886698021672303,0
2024-10-17 00:53:55.016946798,0.19702682516946318,0
2024-10-17 00:54:04.370884845,0.19518667012220328,0
2024-10-17 00:54:13.724822892,0.19334651507494344,0
2024-10-17 00:54:23.078760939,0.1915063600276836,0
2024-10-17 00:54:32.432698985,0.18966620498062042,0
2024-10-17 00:54:41.786637032,0.18782604993336058,0
2024-10-17 00:54:51.140575079,0.18598589488610068,0
2024-10-17 00:55:00.494513126,0.18414573983884083,0
2024-10-17 00:55:09.848451173,0.18230558479158096,0
2024-10-17 00:55:19.202389220,0.1804654297443211,0
2024-10-17 00:55:28.556327267,0.17862527469706124,0
2024-10-17 00:55:37.910265314,0.17678511964980137,0
2024-10-17 00:55:47.264203361,0.1749449646025415,0
2024-10-17 00:55:56.618141408,0.17310480955528165,0
2024-10-17 00:56:05.972079455,0.17126465450802178,0
2024-10-17 00:56:15.326017502,0.1694244994607619,0
2024-10-17 00:56:24.679955549,0.16758434441350206,0
2024-10-17 00:56:34.033893596,0.1657441893662422,0
2024-10-17 00:56:43.387831643,0.16390403431898232,0
2024-10-17 00:56:52.741769690,0.16206387927172247,0
2024-10-17 00:57:02.095707737,0.1602237242244626,0
2024-10-17 00:57:11.449645784,0.1588032253945117,0
2024-10-17 00:57:20.803583831,0.15752726093406982,0
2024-10-17 00:57:30.157521878,0.15625129647362795,0
2024-10-17 00:57:39.511459924,0.15497533201332248,0
2024-10-17 00:57:48.865397971,0.15369936755288058,0
2024-10-17 00:57:58.219336018,0.1524234030924387,0
2024-10-17 00:58:07.573274065,0.15114743863199684,0
2024-10-17 00:58:16.927212112,0.14987147417155497,0
2024-10-17 00:58:26.281150159,0.14859550971111307,0
2024-10-17 00:58:35.635088206,0.1473195452506712,0
2024-10-17 00:58:44.989026253,0.1460435807902293,0
2024-10-17 00:58:54.342964300,0.14476761632978744,0
2024-10-17 00:59:03.696902347,0.14349165186934554,0
2024-10-17 00:59:13.050840394,0.14221568740890367,0
2024-10-17 00:59:22.404778441,0.1409397229484618,0
2024-10-17 00:59:31.758716488,0.13966375848801993,0
2024-10-17 00:59:41.112654535,0.13838779402757803,0
2024-10-17 00:59:50.466592582,0.13711182956713616,0
2024-10-17 00:59:59.820530629,0.13583586510669426,0
2024-10-17 01:00:09.174468676,0.1345599006462524,0
2024-10-17 01:00:18.528406723,0.1332839361858105,0
2024-10-17 01:00:27.882344770,0.13200797172536863,0
2024-10-17 01:00:37.236282817,0.13073200726492673,0
2024-10-17 01:00:46.590220864,0.1294560428044849,0
2024-10-17 01:00:55.944158910,0.12818007834417938,0
2024-10-17 01:01:05.298096957,0.1269041138837375,0
2024-10-17 01:01:14.652035004,0.12562814942329564,0
2024-10-17 01:01:24.005973051,0.12435218496285376,0
2024-10-17 01:01:33.359911098,0.12307622050241188,0
2024-10-17 01:01:42.713849145,0.12180025604196999,0
2024-10-17 01:01:52.067787192,0.12052429158152811,0
2024-10-17 01:02:01.421725239,0.11924832712108623,0
2024-10-17 01:02:10.775663286,0.11797236266064437,0
2024-10-17 01:02:20.129601333,0.11669639820020249,0
2024-10-17 01:02:29.483539380,0.1154204337397606,0
2024-10-17 01:02:38.837477427,0.11414446927931872,0
2024-10-17 01:02:48.191415474,0.11410879515927701,0
2024-10-17 01:02:57.545353521,0.11410879515927701,0
2024-10-17 01:03:06.899291568,0.11410879515927701,0
2024-10-17 01:03:16.253229615,0.11410879515927701,0
2024-10-17 01:03:25.607167662,0.11410879515927701,0
2024-10-17 01:03:34.961105709,0.11410879515927701,0
2024-10-17 01:03:44.315043756,0.11410879515927701,0
2024-10-17 01:03:53.668981803,0.11410879515927701,0
2024-10-17 01:04:03.022919849,0.11410879515927701,0
2024-10-17 01:04:12.376857896,0.11410879515927701,0
2024-10-17 01:04:21.730795943,0.11410879515927701,0
2024-10-17 01:04:31.084733990,0.11410879515927701,0
2024-10-17 01:04:40.438672037,0.11410879515927701,0
2024-10-17 01:04:49.792610084,0.11410879515927701,0
2024-10-17 01:04:59.146548131,0.11410879515927701,0
2024-10-17 01:05:08.500486178,0.11410879515927701,0
2024-10-17 01:05:17.854424225,0.11410879515927701,0
2024-10-17 01:05:27.208362272,0.11410879515927701,0
2024-10-17 01:05:36.562300319,0.11410879515927701,0
2024-10-17 01:05:45.916238366,0.11410879515927701,0
2024-10-17 01:05:55.270176413,0.11410879515927701,0
2024-10-17 01:06:04.624114460,0.11410879515927701,0
2024-10-17 01:06:13.978052507,0.11410879515927701,0
2024-10-17 01:06:23.331990554,0.11410879515927701,0
2024-10-17 01:06:32.685928601,0.11410879515927701,0
