timestep,depth,Theta,lat,lon
114,-17.648775,26.361794,25.601171,-79.479164
115,-17.799202,26.358723,25.601171,-79.479164
116,-17.94963,26.355446,25.601171,-79.479164
117,-18.100058,26.35217,25.601171,-79.479164
118,-18.250486,26.348896,25.601171,-79.479164
119,-18.400913,26.34562,25.601171,-79.479164
120,-18.551342,26.342344,25.601171,-79.479164
121,-18.701769,26.33907,25.601171,-79.479164
122,-18.852198,26.335793,25.601171,-79.479164
123,-19.002625,26.332518,25.601171,-79.479164
124,-19.153053,26.32924,25.601171,-79.479164
125,-19.30348,26.325966,25.601171,-79.479164
126,-19.453909,26.322691,25.601171,-79.479164
127,-19.604336,26.319414,25.601171,-79.479164
128,-19.754765,26.31614,25.601171,-79.479164
129,-19.905193,26.312864,25.601171,-79.479164
130,-20.05562,26.309587,25.601171,-79.479164
131,-20.206049,26.306313,25.601171,-79.479164
132,-20.356476,26.303038,25.601171,-79.479164
133,-20.506905,26.29976,25.601171,-79.479164
134,-20.657331,26.296486,25.601171,-79.479164
135,-20.80776,26.293211,25.601171,-79.479164
136,-20.958187,26.289934,25.601171,-79.479164
137,-21.108616,26.28666,25.601171,-79.479164
138,-21.259043,26.28344,25.601171,-79.479164
139,-21.409472,26.280226,25.601171,-79.479164
140,-21.559898,26.277012,25.601171,-79.479164
141,-21.710327,26.273798,25.601171,-79.479164
142,-21.860754,26.270584,25.601171,-79.479164
143,-22.011183,26.26737,25.601171,-79.479164
144,-22.16161,26.264156,25.601171,-79.479164
145,-22.312038,26.260942,25.601171,-79.479164
146,-22.462465,26.257729,25.601171,-79.479164
147,-22.612894,26.254515,25.601171,-79.479164
148,-22.76332,26.2513,25.601171,-79.479164
149,-22.91375,26.248087,25.601171,-79.479164
150,-23.064177,26.244873,25.601171,-79.479164
151,-23.214605,26.24166,25.601171,-79.479164
152,-23.365032,26.238445,25.601171,-79.479164
153,-23.515461,26.235231,25.601171,-79.479164
154,-23.665888,26.232018,25.601171,-79.479164
155,-23.816317,26.228804,25.601171,-79.479164
156,-23.966743,26.225592,25.601171,-79.479164
157,-24.117172,26.222378,25.601171,-79.479164
158,-24.2676,26.219164,25.601171,-79.479164
159,-24.418028,26.21595,25.601171,-79.479164
160,-24.568455,26.212736,25.601171,-79.479164
161,-24.718884,26.209522,25.601171,-79.479164
162,-24.869312,26.206308,25.601171,-79.479164
163,-25.01974,26.203123,25.601171,-79.479164
164,-25.170168,26.200058,25.601171,-79.479164
165,-25.320595,26.196995,25.601171,-79.479164
166,-25.471024,26.19393,25.601171,-79.479164
167,-25.62145,26.190865,25.601171,-79.479164
168,-25.77188,26.1878,25.601171,-79.479164
169,-25.922306,26.184734,25.601171,-79.479164
170,-26.072735,26.18167,25.601171,-79.479164
171,-26.223162,26.178604,25.601171,-79.479164
172,-26.37359,26.17554,25.601171,-79.479164
173,-26.524017,26.172476,25.601171,-79.479164
174,-26.674446,26.16941,25.601171,-79.479164
175,-26.824873,26.166346,25.601171,-79.479164
176,-26.975302,26.16328,25.601171,-79.479164
177,-27.125729,26.160215,25.601171,-79.479164
178,-27.276157,26.15715,25.601171,-79.479164
179,-27.426584,26.154085,25.601171,-79.479164
180,-27.577013,26.151022,25.601171,-79.479164
181,-27.72744,26.147957,25.601171,-79.479164
182,-27.877869,26.144892,25.601171,-79.479164
183,-28.028296,26.141827,25.601171,-79.479164
184,-28.178724,26.138762,25.601171,-79.479164
185,-28.329151,26.135696,25.601171,-79.479164
186,-28.47958,26.132631,25.601171,-79.479164
187,-28.630007,26.129568,25.601171,-79.479164
188,-28.780436,26.126503,25.601171,-79.479164
189,-28.930862,26.123438,25.601171,-79.479164
190,-29.081291,26.120373,25.601171,-79.479164
191,-29.231718,26.117308,25.601171,-79.479164
192,-29.382147,26.11391,25.601171,-79.479164
193,-29.532576,26.109503,25.601171,-79.479164
194,-29.683002,26.105095,25.601171,-79.479164
195,-29.833431,26.100687,25.601171,-79.479164
196,-29.983858,26.09628,25.601171,-79.479164
197,-30.134287,26.091871,25.601171,-79.479164
198,-30.284714,26.087463,25.601171,-79.479164
199,-30.435143,26.083055,25.601171,-79.479164
200,-30.58557,26.078648,25.601171,-79.479164
201,-30.735998,26.07424,25.601171,-79.479164
202,-30.886425,26.069832,25.601171,-79.479164
203,-31.036854,26.065424,25.601171,-79.479164
204,-31.18728,26.061016,25.601171,-79.479164
205,-31.33771,26.056608,25.601171,-79.479164
206,-31.488136,26.0522,25.601171,-79.479164
207,-31.638565,26.047792,25.601171,-79.479164
208,-31.788992,26.043385,25.601171,-79.479164
209,-31.93942,26.038977,25.601171,-79.479164
210,-32.089848,26.034569,25.601171,-79.479164
211,-32.240276,26.03016,25.601171,-79.479164
212,-32.3907,26.025753,25.601171,-79.479164
213,-32.54113,26.021345,25.601171,-79.479164
214,-32.69156,26.016937,25.601171,-79.479164
215,-32.841988,26.01253,25.601171,-79.479164
216,-32.992416,26.008121,25.601171,-79.479164
217,-33.14284,26.003714,25.601171,-79.479164
218,-33.29327,25.999306,25.601171,-79.479164
219,-33.4437,25.994898,25.601171,-79.479164
220,-33.594128,25.99049,25.601171,-79.479164
221,-33.744553,25.986082,25.601171,-79.479164
222,-33.89498,25.981674,25.601171,-79.479164
223,-34.04541,25.977266,25.601171,-79.479164
224,-34.19584,25.972857,25.601171,-79.479164
225,-34.346268,25.966898,25.601171,-79.479164
226,-34.496693,25.960293,25.601171,-79.479164
227,-34.64712,25.953688,25.601171,-79.479164
228,-34.79755,25.947083,25.601171,-79.479164
229,-34.94798,25.94048,25.601171,-79.479164
230,-35.098404,25.933874,25.601171,-79.479164
231,-35.248833,25.927269,25.601171,-79.479164
232,-35.39926,25.920664,25.601171,-79.479164
233,-35.54969,25.914059,25.601171,-79.479164
234,-35.700115,25.907455,25.601171,-79.479164
235,-35.850544,25.90085,25.601171,-79.479164
236,-36.000973,25.894245,25.601171,-79.479164
237,-36.1514,25.88764,25.601171,-79.479164
238,-36.301826,25.881035,25.601171,-79.479164
239,-36.452255,25.874432,25.601171,-79.479164
240,-36.602684,25.867826,25.601171,-79.479164
241,-36.753113,25.861221,25.601171,-79.479164
242,-36.903538,25.854616,25.601171,-79.479164
243,-37.053967,25.848011,25.601171,-79.479164
244,-37.204395,25.841408,25.601171,-79.479164
245,-37.354824,25.834803,25.601171,-79.479164
246,-37.50525,25.828197,25.601171,-79.479164
247,-37.655678,25.821592,25.601171,-79.479164
248,-37.806107,25.814987,25.601171,-79.479164
249,-37.956535,25.808382,25.601171,-79.479164
250,-38.10696,25.801779,25.601171,-79.479164
251,-38.25739,25.795174,25.601171,-79.479164
252,-38.407818,25.788568,25.601171,-79.479164
253,-38.558247,25.781963,25.601171,-79.479164
254,-38.70867,25.77536,25.601171,-79.479164
255,-38.8591,25.768755,25.601171,-79.479164
256,-39.00953,25.76215,25.601171,-79.479164
257,-39.159958,25.755545,25.601171,-79.479164
258,-39.310387,25.74894,25.601171,-79.479164
259,-39.46081,25.742336,25.601171,-79.479164
260,-39.61124,25.735731,25.601171,-79.479164
261,-39.76167,25.72885,25.601171,-79.479164
262,-39.912098,25.72111,25.601171,-79.479164
263,-40.062523,25.71337,25.601171,-79.479164
264,-40.21295,25.705631,25.601171,-79.479164
265,-40.36338,25.697891,25.601171,-79.479164
266,-40.51381,25.690151,25.601171,-79.479164
267,-40.664234,25.682413,25.601171,-79.479164
268,-40.814663,25.674673,25.601171,-79.479164
269,-40.96509,25.666933,25.601171,-79.479164
270,-41.11552,25.659193,25.601171,-79.479164
271,-41.265945,25.651455,25.601171,-79.479164
272,-41.416374,25.643715,25.601171,-79.479164
273,-41.566803,25.635975,25.601171,-79.479164
274,-41.71723,25.628235,25.601171,-79.479164
275,-41.867657,25.620497,25.601171,-79.479164
276,-42.018085,25.612757,25.601171,-79.479164
277,-42.168514,25.605017,25.601171,-79.479164
278,-42.318943,25.597279,25.601171,-79.479164
279,-42.469368,25.589539,25.601171,-79.479164
280,-42.619797,25.581799,25.601171,-79.479164
281,-42.770226,25.574059,25.601171,-79.479164
282,-42.920654,25.56632,25.601171,-79.479164
283,-43.07108,25.55858,25.601171,-79.479164
284,-43.221508,25.55084,25.601171,-79.479164
285,-43.371937,25.5431,25.601171,-79.479164
286,-43.522366,25.535362,25.601171,-79.479164
287,-43.67279,25.527622,25.601171,-79.479164
288,-43.82322,25.519882,25.601171,-79.479164
289,-43.973648,25.512144,25.601171,-79.479164
290,-44.124077,25.504404,25.601171,-79.479164
291,-44.274506,25.496664,25.601171,-79.479164
292,-44.42493,25.488924,25.601171,-79.479164
293,-44.57536,25.481186,25.601171,-79.479164
294,-44.72579,25.473446,25.601171,-79.479164
295,-44.876217,25.465706,25.601171,-79.479164
296,-45.02664,25.457968,25.601171,-79.479164
297,-45.17707,25.450228,25.601171,-79.479164
298,-45.3275,25.442488,25.601171,-79.479164
299,-45.47793,25.434748,25.601171,-79.479164
300,-45.628353,25.42701,25.601171,-79.479164
301,-45.77878,25.41927,25.601171,-79.479164
302,-45.92921,25.411942,25.601171,-79.479164
303,-46.07964,25.405039,25.601171,-79.479164
304,-46.230064,25.398136,25.601171,-79.479164
305,-46.380493,25.391232,25.601171,-79.479164
306,-46.530922,25.384329,25.601171,-79.479164
307,-46.68135,25.377426,25.601171,-79.479164
308,-46.831776,25.370522,25.601171,-79.479164
309,-46.982204,25.363619,25.601171,-79.479164
310,-47.132633,25.356714,25.601171,-79.479164
311,-47.283062,25.349812,25.601171,-79.479164
312,-47.433487,25.342909,25.601171,-79.479164
313,-47.583916,25.336004,25.601171,-79.479164
314,-47.734344,25.329102,25.601171,-79.479164
315,-47.884773,25.322197,25.601171,-79.479164
316,-48.0352,25.315294,25.601171,-79.479164
317,-48.185627,25.308392,25.601171,-79.479164
318,-48.336056,25.301487,25.601171,-79.479164
319,-48.486485,25.294584,25.601171,-79.479164
320,-48.63691,25.287682,25.601171,-79.479164
321,-48.78734,25.280777,25.601171,-79.479164
322,-48.937767,25.273874,25.601171,-79.479164
323,-49.088196,25.26697,25.601171,-79.479164
324,-49.238625,25.260067,25.601171,-79.479164
325,-49.38905,25.253164,25.601171,-79.479164
326,-49.53948,25.24626,25.601171,-79.479164
327,-49.689907,25.239357,25.601171,-79.479164
328,-49.840336,25.232454,25.601171,-79.479164
329,-49.99076,25.22555,25.601171,-79.479164
330,-50.14119,25.218647,25.601171,-79.479164
331,-50.29162,25.211742,25.601171,-79.479164
332,-50.442047,25.20484,25.601171,-79.479164
333,-50.592472,25.197937,25.601171,-79.479164
334,-50.7429,25.191032,25.601171,-79.479164
