CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	30      	Inhale                        	   00:04:12:23	   00:04:16:06	   00:00:03:13	Unmuted
1       	31      	Inhale                        	   00:04:24:26	   00:04:28:04	   00:00:03:08	Unmuted
1       	32      	Inhale                        	   00:04:36:16	   00:04:39:28	   00:00:03:12	Unmuted
1       	33      	Inhale                        	   00:04:47:27	   00:04:50:27	   00:00:02:29	Unmuted
1       	34      	Inhale                        	   00:04:59:15	   00:05:02:28	   00:00:03:12	Unmuted
1       	35      	Inhale                        	   00:05:11:01	   00:05:14:07	   00:00:03:06	Unmuted
1       	36      	Inhale                        	   00:05:21:25	   00:05:24:26	   00:00:03:00	Unmuted
1       	37      	Inhale                        	   00:05:33:20	   00:05:37:01	   00:00:03:10	Unmuted
1       	38      	Inhale                        	   00:05:47:13	   00:05:51:00	   00:00:03:17	Unmuted
1       	39      	Inhale                        	   00:06:00:02	   00:06:03:19	   00:00:03:16	Unmuted
1       	40      	Inhale                        	   00:06:12:28	   00:06:16:17	   00:00:03:18	Unmuted
1       	41      	Inhale                        	   00:06:27:17	   00:06:31:26	   00:00:04:08	Unmuted
1       	42      	Inhale                        	   00:06:46:04	   00:06:52:11	   00:00:06:06	Unmuted
1       	43      	Inhale                        	   00:07:11:05	   00:07:18:26	   00:00:07:21	Unmuted
1       	44      	Inhale                        	   00:07:43:21	   00:07:54:26	   00:00:11:05	Unmuted
1       	45      	Inhale                        	   00:08:30:13	   00:08:47:26	   00:00:17:12	Unmuted
1       	46      	Inhale                        	   00:09:37:13	   00:09:51:10	   00:00:13:27	Unmuted
1       	47      	Inhale                        	   00:10:17:26	   00:10:27:02	   00:00:09:05	Unmuted
1       	48      	Inhale                        	   00:10:44:08	   00:10:50:12	   00:00:06:04	Unmuted
1       	49      	Inhale                        	   00:11:04:00	   00:11:08:27	   00:00:04:27	Unmuted
1       	50      	Inhale                        	   00:11:19:25	   00:11:23:28	   00:00:04:02	Unmuted
1       	51      	Inhale                        	   00:11:33:04	   00:11:36:23	   00:00:03:18	Unmuted
1       	52      	Inhale                        	   00:11:44:03	   00:11:47:26	   00:00:03:22	Unmuted
