timestep,depth,Salinity
241,-27.845621,35.93509
242,-27.959087,35.93568
243,-28.072556,35.936275
244,-28.186022,35.936867
245,-28.29949,35.93746
246,-28.412958,35.938057
247,-28.526424,35.93865
248,-28.639893,35.939243
249,-28.753359,35.93984
250,-28.866827,35.94043
251,-28.980293,35.941025
252,-29.093761,35.941616
253,-29.207228,35.94221
254,-29.320696,35.942806
255,-29.434162,35.94364
256,-29.54763,35.944542
257,-29.661098,35.945446
258,-29.774565,35.946346
259,-29.888033,35.947247
260,-30.0015,35.94815
261,-30.114967,35.94905
262,-30.228434,35.949955
263,-30.341902,35.950855
264,-30.455368,35.951756
265,-30.568836,35.95266
266,-30.682302,35.95356
267,-30.79577,35.95446
268,-30.909239,35.955364
269,-31.022705,35.956264
270,-31.136173,35.95717
271,-31.24964,35.95807
272,-31.363108,35.95897
273,-31.476574,35.959873
274,-31.590042,35.960773
275,-31.703508,35.961678
276,-31.816977,35.962578
277,-31.930443,35.963478
278,-32.04391,35.964382
279,-32.15738,35.965282
280,-32.270844,35.966187
281,-32.384315,35.967087
282,-32.49778,35.967987
283,-32.611248,35.96889
284,-32.724716,35.96979
285,-32.83818,35.970695
286,-32.95165,35.971596
287,-33.065117,35.972496
288,-33.178585,35.9734
289,-33.292053,35.9743
290,-33.405518,35.9752
291,-33.518986,35.976105
292,-33.632454,35.977005
293,-33.745922,35.97791
294,-33.859386,35.97881
295,-33.972855,35.97971
296,-34.086323,35.980614
297,-34.19979,35.981514
298,-34.313255,35.982723
299,-34.426723,35.984104
300,-34.54019,35.985485
301,-34.65366,35.986862
302,-34.767128,35.988243
303,-34.880592,35.98962
304,-34.99406,35.991
305,-35.10753,35.992382
306,-35.220997,35.99376
307,-35.33446,35.99514
308,-35.44793,35.996517
309,-35.561398,35.9979
310,-35.674866,35.999275
311,-35.788334,36.000656
312,-35.9018,36.002037
313,-36.015266,36.003414
314,-36.128735,36.004795
315,-36.242203,36.006172
316,-36.355667,36.007553
317,-36.469135,36.008934
318,-36.582603,36.01031
319,-36.69607,36.011692
320,-36.80954,36.01307
321,-36.923004,36.01445
322,-37.036472,36.015827
323,-37.14994,36.01721
324,-37.26341,36.01859
325,-37.376873,36.019966
326,-37.49034,36.021347
327,-37.60381,36.022724
328,-37.717278,36.024105
329,-37.83074,36.025486
330,-37.94421,36.026863
331,-38.05768,36.028244
332,-38.171146,36.02962
333,-38.284615,36.031002
334,-38.39808,36.032383
335,-38.511547,36.03376
336,-38.625015,36.03514
337,-38.738483,36.03652
338,-38.851948,36.0379
339,-38.965416,36.039276
340,-39.078884,36.040657
341,-39.192352,36.042038
342,-39.30582,36.043415
343,-39.419285,36.044796
344,-39.532753,36.046173
345,-39.64622,36.047554
346,-39.75969,36.04897
347,-39.873154,36.05047
348,-39.98662,36.051964
349,-40.10009,36.053463
350,-40.21356,36.05496
351,-40.327023,36.056458
352,-40.44049,36.057953
353,-40.55396,36.059452
354,-40.667427,36.060947
355,-40.780895,36.062447
356,-40.89436,36.063942
357,-41.007828,36.06544
358,-41.121296,36.066936
359,-41.234764,36.068436
360,-41.34823,36.06993
361,-41.461697,36.07143
362,-41.575165,36.072926
363,-41.688633,36.074425
364,-41.8021,36.07592
365,-41.915565,36.07742
366,-42.029034,36.078915
367,-42.1425,36.080414
368,-42.25597,36.08191
