depth,lat,lon,getitem-be70884a9fcd6b8bb0d4bffa99fceec4
-17.440186,25.012547,-79.979164,26.776249
-17.56033,25.012547,-79.979164,26.776278
-17.680471,25.012547,-79.979164,26.776304
-17.800615,25.012547,-79.979164,26.7763
-17.920757,25.012547,-79.979164,26.77629
-18.040901,25.012547,-79.979164,26.77628
-18.161045,25.012547,-79.979164,26.776268
-18.281187,25.012547,-79.979164,26.776258
-18.40133,25.012547,-79.979164,26.776247
-18.521475,25.012547,-79.979164,26.776236
-18.641617,25.012547,-79.979164,26.776226
-18.76176,25.012547,-79.979164,26.776215
-18.881903,25.012547,-79.979164,26.776203
-19.002047,25.012547,-79.979164,26.776194
-19.12219,25.012547,-79.979164,26.776182
-19.242332,25.012547,-79.979164,26.77617
-19.362476,25.012547,-79.979164,26.77616
-19.48262,25.012547,-79.979164,26.77615
-19.602762,25.012547,-79.979164,26.776138
-19.722906,25.012547,-79.979164,26.776127
-19.843048,25.012547,-79.979164,26.776117
-19.963192,25.012547,-79.979164,26.776106
-20.083336,25.012547,-79.979164,26.776094
-20.203478,25.012547,-79.979164,26.776085
-20.323622,25.012547,-79.979164,26.776073
-20.443764,25.012547,-79.979164,26.776062
-20.563908,25.012547,-79.979164,26.776052
-20.684052,25.012547,-79.979164,26.776041
-20.804193,25.012547,-79.979164,26.77603
-20.924337,25.012547,-79.979164,26.77602
-21.044481,25.012547,-79.979164,26.776009
-21.164623,25.012547,-79.979164,26.775959
-21.284767,25.012547,-79.979164,26.77583
-21.40491,25.012547,-79.979164,26.775702
-21.525053,25.012547,-79.979164,26.775574
-21.645197,25.012547,-79.979164,26.775444
-21.765339,25.012547,-79.979164,26.775316
-21.885483,25.012547,-79.979164,26.775188
-22.005625,25.012547,-79.979164,26.775059
-22.125769,25.012547,-79.979164,26.774931
-22.245913,25.012547,-79.979164,26.774803
-22.366055,25.012547,-79.979164,26.774673
-22.486198,25.012547,-79.979164,26.774546
-22.606342,25.012547,-79.979164,26.774416
-22.726484,25.012547,-79.979164,26.774288
