,depth,temperature
0,-0.5,21.162506103532028
1,-0.9280628248875243,21.164804414358546
2,-1.3561256497750487,21.167102725185064
3,-1.7841884746625731,21.168601303534555
4,-2.2122512995500974,21.169301321995647
5,-2.6403141244376216,21.17000134045674
6,-3.0683769493251463,21.17050266076504
7,-3.4964397742126705,21.170897139209707
8,-3.9245025991001947,21.171291617654372
9,-4.352565423987719,21.171629462594236
10,-4.780628248875243,21.17187926501783
11,-5.208691073762767,21.17212906744142
12,-5.6367538986502925,21.172378869865017
13,-6.064816723537817,21.17256422819547
14,-6.492879548425341,21.172717174849463
15,-6.920942373312865,21.172870121503458
16,-7.349005198200389,21.17302306815745
17,-7.777068023087914,21.17313988686377
18,-8.205130847975438,21.173207892667378
19,-8.633193672862962,21.173275898470987
20,-9.061256497750486,21.173343904274596
21,-9.48931932263801,21.173411910078205
22,-9.917382147525535,21.17341938916643
23,-10.345444972413059,21.173386730570908
24,-10.773507797300585,21.173354071975382
25,-11.20157062218811,21.17332141337986
26,-11.629633447075634,21.173288754784338
27,-12.057696271963158,21.173237008908263
28,-12.485759096850682,21.17303304554763
29,-12.913821921738206,21.172829082187
30,-13.34188474662573,21.17262511882637
31,-13.769947571513255,21.17242115546574
32,-14.198010396400779,21.172217192105112
33,-14.626073221288303,21.172013228744483
34,-15.054136046175827,21.171406739721093
35,-15.482198871063352,21.17074223155927
36,-15.910261695950876,21.170077723397448
37,-16.3383245208384,21.16941321523563
38,-16.766387345725924,21.168748707073807
39,-17.19445017061345,21.168084198911984
40,-17.622512995500973,21.16741969075016
41,-18.0505758203885,21.16433922382673
42,-18.47863864527602,21.16068208115121
43,-18.906701470163547,21.157024938475693
44,-19.33476429505107,21.15336779580018
45,-19.762827119938596,21.14971065312466
46,-20.190889944826118,21.146053510449143
47,-20.618952769713644,21.142396367773628
48,-21.04701559460117,21.13873922509811
49,-21.475078419488693,21.129975481224605
50,-21.90314124437622,21.12007417854252
51,-22.33120406926374,21.110172875860435
52,-22.759266894151267,21.10027157317835
53,-23.18732971903879,21.090370270496265
54,-23.615392543926315,21.08046896781418
55,-24.043455368813838,21.070567665132096
56,-24.471518193701364,21.06066636245001
57,-24.899581018588886,21.050765059767926
58,-25.327643843476412,21.04809779625755
59,-25.755706668363935,21.04736775830434
60,-26.18376949325146,21.046637720351132
61,-26.611832318138983,21.04590768239792
62,-27.03989514302651,21.045177644444713
63,-27.46795796791403,21.044447606491506
64,-27.896020792801558,21.043717568538295
65,-28.324083617689084,21.042987530585087
66,-28.752146442576606,21.042257492631876
67,-29.180209267464132,21.04152745467867
68,-29.608272092351655,21.03806146205263
69,-30.03633491723918,21.03288295796201
70,-30.464397742126703,21.02770445387139
71,-30.89246056701423,21.022525949780768
72,-31.32052339190175,21.017347445690145
73,-31.748586216789278,21.012168941599526
74,-32.1766490416768,21.006990437508904
75,-32.60471186656432,21.00181193341828
76,-33.03277469145185,20.996633429327662
77,-33.460837516339375,20.99145492523704
78,-33.8889003412269,20.986276421146417
79,-34.31696316611442,20.981166884443745
80,-34.745025991001945,20.976371991749716
81,-35.17308881588947,20.971577099055686
82,-35.601151640777,20.966782206361653
83,-36.02921446566452,20.961987313667624
84,-36.45727729055204,20.957192420973595
85,-36.88534011543957,20.952397528279562
86,-37.313402940327094,20.947602635585532
87,-37.74146576521462,20.942807742891503
88,-38.16952859010214,20.93801285019747
89,-38.597591414989665,20.93321795750344
90,-39.02565423987719,20.928423064809408
91,-39.45371706476472,20.92362817211538
92,-39.881779889652236,20.918923331797377
93,-40.30984271453976,20.914374303518297
94,-40.73790553942729,20.909825275239214
95,-41.165968364314814,20.905276246960135
96,-41.59403118920234,20.90072721868105
97,-42.02209401408986,20.896178190401972
98,-42.450156838977385,20.891629162122893
99,-42.87821966386491,20.88708013384381
100,-43.30628248875244,20.88253110556473
101,-43.734345313639956,20.877982077285647
102,-44.16240813852748,20.873433049006568
103,-44.59047096341501,20.868884020727485
104,-45.018533788302534,20.864334992448406
105,-45.44659661319005,20.859785964169323
106,-45.87465943807758,20.855213478939834
107,-46.302722262965105,20.850153664468312
108,-46.73078508785263,20.845093849996786
109,-47.15884791274015,20.840034035525264
110,-47.586910737627676,20.83497422105374
111,-48.0149735625152,20.829914406582215
112,-48.44303638740273,20.824854592110693
113,-48.871099212290254,20.81979477763917
114,-49.29916203717777,20.814734963167645
115,-49.7272248620653,20.809675148696122
116,-50.155287686952825,20.804615334224597
117,-50.58335051184035,20.799555519753074
118,-51.01141333672787,20.794495705281552
119,-51.439476161615396,20.789435890810026
120,-51.86753898650292,20.784376076338503
121,-52.29560181139045,20.77931626186698
122,-52.72366463627797,20.77418746440572
123,-53.15172746116549,20.768250504953187
124,-53.57979028605302,20.762313545500657
125,-54.007853110940545,20.756376586048123
126,-54.43591593582806,20.750439626595593
127,-54.86397876071559,20.74450266714306
128,-55.292041585603116,20.73856570769053
129,-55.72010441049064,20.732628748237996
130,-56.14816723537817,20.726691788785466
131,-56.57623006026569,20.720754829332932
132,-57.00429288515321,20.714817869880402
133,-57.43235571004074,20.70888091042787
134,-57.860418534928264,20.70294395097534
135,-58.28848135981578,20.697006991522805
136,-58.71654418470331,20.691070032070275
137,-59.144607009590835,20.68513307261774
138,-59.57266983447836,20.67919611316521
139,-60.00073265936588,20.673259153712678
140,-60.428795484253406,20.667340300556507
141,-60.85685830914093,20.66145543739427
142,-61.28492113402846,20.655570574232037
143,-61.71298395891598,20.649685711069804
144,-62.1410467838035,20.64380084790757
145,-62.56910960869103,20.637915984745334
