CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,763,Heartbeat Tempo Mapped-40.L   ,00:05:01:11,00:05:01:18,00:00:00:07,Unmuted,9041,7,1
1,765,Heartbeat Tempo Mapped-42.L   ,00:05:01:20,00:05:02:07,00:00:00:16,Unmuted,9050,16,1
1,766,Heartbeat Tempo Mapped-34.L   ,00:05:02:10,00:05:02:17,00:00:00:07,Unmuted,9070,7,0
1,767,Heartbeat Tempo Mapped-35.L   ,00:05:02:19,00:05:03:06,00:00:00:17,Unmuted,9079,17,1
1,768,Heartbeat Tempo Mapped-36.L   ,00:05:03:09,00:05:03:16,00:00:00:07,Unmuted,9099,7,0
1,769,Heartbeat Tempo Mapped-37.L   ,00:05:03:18,00:05:04:05,00:00:00:17,Unmuted,9108,17,1
1,770,Heartbeat Tempo Mapped-38.L   ,00:05:04:08,00:05:04:16,00:00:00:07,Unmuted,9128,7,0
1,771,Heartbeat Tempo Mapped-39.L   ,00:05:04:17,00:05:05:04,00:00:00:17,Unmuted,9137,17,1
1,772,Heartbeat Tempo Mapped-40.L   ,00:05:05:07,00:05:05:15,00:00:00:07,Unmuted,9157,7,0
1,774,Heartbeat Tempo Mapped-42.L   ,00:05:05:16,00:05:06:03,00:00:00:16,Unmuted,9166,16,0
1,775,Heartbeat Tempo Mapped-34.L   ,00:05:06:06,00:05:06:13,00:00:00:07,Unmuted,9186,7,1
1,776,Heartbeat Tempo Mapped-35.L   ,00:05:06:15,00:05:07:03,00:00:00:17,Unmuted,9195,17,0
1,777,Heartbeat Tempo Mapped-36.L   ,00:05:07:05,00:05:07:13,00:00:00:07,Unmuted,9215,7,1
1,778,Heartbeat Tempo Mapped-37.L   ,00:05:07:14,00:05:08:02,00:00:00:17,Unmuted,9224,17,0
1,779,Heartbeat Tempo Mapped-38.L   ,00:05:08:04,00:05:08:12,00:00:00:07,Unmuted,9244,7,1
1,780,Heartbeat Tempo Mapped-39.L   ,00:05:08:14,00:05:09:01,00:00:00:17,Unmuted,9254,17,0
1,781,Heartbeat Tempo Mapped-40.L   ,00:05:09:04,00:05:09:11,00:00:00:07,Unmuted,9274,7,1
1,783,Heartbeat Tempo Mapped-42.L   ,00:05:09:13,00:05:10:00,00:00:00:16,Unmuted,9283,16,1
1,784,Heartbeat Tempo Mapped-34.L   ,00:05:10:03,00:05:10:10,00:00:00:07,Unmuted,9303,7,0
1,785,Heartbeat Tempo Mapped-35.L   ,00:05:10:12,00:05:10:29,00:00:00:17,Unmuted,9312,17,1
1,786,Heartbeat Tempo Mapped-36.L   ,00:05:11:02,00:05:11:10,00:00:00:07,Unmuted,9332,7,0
1,787,Heartbeat Tempo Mapped-37.L   ,00:05:11:11,00:05:11:28,00:00:00:17,Unmuted,9341,17,1
1,788,Heartbeat Tempo Mapped-38.L   ,00:05:12:01,00:05:12:09,00:00:00:07,Unmuted,9361,7,0
1,789,Heartbeat Tempo Mapped-39.L   ,00:05:12:11,00:05:12:28,00:00:00:17,Unmuted,9371,17,1
1,790,Heartbeat Tempo Mapped-40.L   ,00:05:13:01,00:05:13:08,00:00:00:07,Unmuted,9391,7,0
1,792,Heartbeat Tempo Mapped-42.L   ,00:05:13:10,00:05:13:27,00:00:00:16,Unmuted,9400,16,0
1,793,Heartbeat Tempo Mapped-34.L   ,00:05:14:00,00:05:14:07,00:00:00:07,Unmuted,9420,7,1
1,794,Heartbeat Tempo Mapped-35.L   ,00:05:14:09,00:05:14:27,00:00:00:17,Unmuted,9429,17,0
1,795,Heartbeat Tempo Mapped-36.L   ,00:05:15:00,00:05:15:07,00:00:00:07,Unmuted,9450,7,1
1,796,Heartbeat Tempo Mapped-37.L   ,00:05:15:09,00:05:15:26,00:00:00:17,Unmuted,9459,17,0
1,797,Heartbeat Tempo Mapped-38.L   ,00:05:15:29,00:05:16:07,00:00:00:07,Unmuted,9479,7,1
1,798,Heartbeat Tempo Mapped-39.L   ,00:05:16:08,00:05:16:25,00:00:00:17,Unmuted,9488,17,0
1,799,Heartbeat Tempo Mapped-40.L   ,00:05:16:28,00:05:17:06,00:00:00:07,Unmuted,9508,7,1
1,801,Heartbeat Tempo Mapped-42.L   ,00:05:17:08,00:05:17:25,00:00:00:16,Unmuted,9518,16,1
1,802,Heartbeat Tempo Mapped-34.L   ,00:05:17:28,00:05:18:05,00:00:00:07,Unmuted,9538,7,0
1,803,Heartbeat Tempo Mapped-35.L   ,00:05:18:07,00:05:18:24,00:00:00:17,Unmuted,9547,17,1
1,804,Heartbeat Tempo Mapped-36.L   ,00:05:18:27,00:05:19:05,00:00:00:07,Unmuted,9567,7,0
1,805,Heartbeat Tempo Mapped-37.L   ,00:05:19:06,00:05:19:24,00:00:00:17,Unmuted,9576,17,1
1,806,Heartbeat Tempo Mapped-38.L   ,00:05:19:27,00:05:20:05,00:00:00:07,Unmuted,9597,7,0
1,807,Heartbeat Tempo Mapped-39.L   ,00:05:20:06,00:05:20:23,00:00:00:17,Unmuted,9606,17,1
1,808,Heartbeat Tempo Mapped-40.L   ,00:05:20:26,00:05:21:04,00:00:00:07,Unmuted,9626,7,0
1,810,Heartbeat Tempo Mapped-42.L   ,00:05:21:06,00:05:21:23,00:00:00:16,Unmuted,9636,16,0
1,811,Heartbeat Tempo Mapped-34.L   ,00:05:21:26,00:05:22:03,00:00:00:07,Unmuted,9656,7,1
1,812,Heartbeat Tempo Mapped-35.L   ,00:05:22:05,00:05:22:22,00:00:00:17,Unmuted,9665,17,0
1,813,Heartbeat Tempo Mapped-36.L   ,00:05:22:26,00:05:23:03,00:00:00:07,Unmuted,9686,7,1
1,814,Heartbeat Tempo Mapped-37.L   ,00:05:23:05,00:05:23:22,00:00:00:17,Unmuted,9695,17,0
1,815,Heartbeat Tempo Mapped-38.L   ,00:05:23:25,00:05:24:03,00:00:00:07,Unmuted,9715,7,1
1,816,Heartbeat Tempo Mapped-39.L   ,00:05:24:05,00:05:24:22,00:00:00:17,Unmuted,9725,17,0
1,817,Heartbeat Tempo Mapped-40.L   ,00:05:24:25,00:05:25:02,00:00:00:07,Unmuted,9745,7,1
1,819,Heartbeat Tempo Mapped-42.L   ,00:05:25:04,00:05:25:21,00:00:00:16,Unmuted,9754,16,1
1,820,Heartbeat Tempo Mapped-34.L   ,00:05:25:25,00:05:26:02,00:00:00:07,Unmuted,9775,7,0
1,821,Heartbeat Tempo Mapped-35.L   ,00:05:26:04,00:05:26:21,00:00:00:17,Unmuted,9784,17,1
1,822,Heartbeat Tempo Mapped-36.L   ,00:05:26:24,00:05:27:02,00:00:00:07,Unmuted,9804,7,0
1,823,Heartbeat Tempo Mapped-37.L   ,00:05:27:03,00:05:27:21,00:00:00:17,Unmuted,9813,17,1
1,824,Heartbeat Tempo Mapped-38.L   ,00:05:27:24,00:05:28:02,00:00:00:07,Unmuted,9834,7,0
1,825,Heartbeat Tempo Mapped-39.L   ,00:05:28:04,00:05:28:21,00:00:00:17,Unmuted,9844,17,1
1,826,Heartbeat Tempo Mapped-40.L   ,00:05:28:24,00:05:29:01,00:00:00:07,Unmuted,9864,7,0
1,828,Heartbeat Tempo Mapped-42.L   ,00:05:29:03,00:05:29:20,00:00:00:16,Unmuted,9873,16,0
1,829,Heartbeat Tempo Mapped-34.L   ,00:05:29:24,00:05:30:01,00:00:00:07,Unmuted,9894,7,1
1,830,Heartbeat Tempo Mapped-35.L   ,00:05:30:03,00:05:30:20,00:00:00:17,Unmuted,9903,17,0
1,831,Heartbeat Tempo Mapped-36.L   ,00:05:30:24,00:05:31:01,00:00:00:07,Unmuted,9924,7,1
1,832,Heartbeat Tempo Mapped-37.L   ,00:05:31:03,00:05:31:20,00:00:00:17,Unmuted,9933,17,0
1,833,Heartbeat Tempo Mapped-38.L   ,00:05:31:23,00:05:32:01,00:00:00:07,Unmuted,9953,7,1
1,834,Heartbeat Tempo Mapped-39.L   ,00:05:32:03,00:05:32:20,00:00:00:17,Unmuted,9963,17,0
1,835,Heartbeat Tempo Mapped-40.L   ,00:05:32:23,00:05:33:01,00:00:00:07,Unmuted,9983,7,1
1,837,Heartbeat Tempo Mapped-42.L   ,00:05:33:03,00:05:33:20,00:00:00:16,Unmuted,9993,16,1
1,838,Heartbeat Tempo Mapped-34.L   ,00:05:33:23,00:05:34:00,00:00:00:07,Unmuted,10013,7,0
1,839,Heartbeat Tempo Mapped-35.L   ,00:05:34:02,00:05:34:20,00:00:00:17,Unmuted,10022,17,1
1,840,Heartbeat Tempo Mapped-36.L   ,00:05:34:23,00:05:35:01,00:00:00:07,Unmuted,10043,7,0
1,841,Heartbeat Tempo Mapped-37.L   ,00:05:35:02,00:05:35:20,00:00:00:17,Unmuted,10052,17,1
1,842,Heartbeat Tempo Mapped-38.L   ,00:05:35:23,00:05:36:01,00:00:00:07,Unmuted,10073,7,0
1,843,Heartbeat Tempo Mapped-39.L   ,00:05:36:03,00:05:36:20,00:00:00:17,Unmuted,10083,17,1
1,844,Heartbeat Tempo Mapped-40.L   ,00:05:36:23,00:05:37:01,00:00:00:07,Unmuted,10103,7,0
1,846,Heartbeat Tempo Mapped-42.L   ,00:05:37:03,00:05:37:20,00:00:00:16,Unmuted,10113,16,0
1,847,Heartbeat Tempo Mapped-34.L   ,00:05:37:23,00:05:38:01,00:00:00:07,Unmuted,10133,7,1
1,848,Heartbeat Tempo Mapped-35.L   ,00:05:38:02,00:05:38:20,00:00:00:17,Unmuted,10142,17,0
1,849,Heartbeat Tempo Mapped-36.L   ,00:05:38:23,00:05:39:01,00:00:00:07,Unmuted,10163,7,1
1,850,Heartbeat Tempo Mapped-37.L   ,00:05:39:03,00:05:39:20,00:00:00:17,Unmuted,10173,17,0
1,851,Heartbeat Tempo Mapped-38.L   ,00:05:39:23,00:05:40:01,00:00:00:07,Unmuted,10193,7,1
1,852,Heartbeat Tempo Mapped-39.L   ,00:05:40:03,00:05:40:20,00:00:00:17,Unmuted,10203,17,0
1,853,Heartbeat Tempo Mapped-40.L   ,00:05:40:24,00:05:41:01,00:00:00:07,Unmuted,10224,7,1
1,855,Heartbeat Tempo Mapped-42.L   ,00:05:41:03,00:05:41:20,00:00:00:16,Unmuted,10233,16,1
1,856,Heartbeat Tempo Mapped-34.L   ,00:05:41:24,00:05:42:01,00:00:00:07,Unmuted,10254,7,0
1,857,Heartbeat Tempo Mapped-35.L   ,00:05:42:03,00:05:42:21,00:00:00:17,Unmuted,10263,17,1
1,858,Heartbeat Tempo Mapped-36.L   ,00:05:42:24,00:05:43:02,00:00:00:07,Unmuted,10284,7,0
1,859,Heartbeat Tempo Mapped-37.L   ,00:05:43:03,00:05:43:21,00:00:00:17,Unmuted,10293,17,1
1,860,Heartbeat Tempo Mapped-38.L   ,00:05:43:24,00:05:44:02,00:00:00:07,Unmuted,10314,7,0
1,861,Heartbeat Tempo Mapped-39.L   ,00:05:44:04,00:05:44:21,00:00:00:17,Unmuted,10324,17,1
1,862,Heartbeat Tempo Mapped-40.L   ,00:05:44:25,00:05:45:02,00:00:00:07,Unmuted,10345,7,0
1,864,Heartbeat Tempo Mapped-42.L   ,00:05:45:04,00:05:45:21,00:00:00:16,Unmuted,10354,16,0
1,865,Heartbeat Tempo Mapped-34.L   ,00:05:45:25,00:05:46:02,00:00:00:07,Unmuted,10375,7,1
