timestep,depth,Salinity,lat,lon
130,-15.25075,35.887577,25.601171,-79.479164
131,-15.364217,35.887886,25.601171,-79.479164
132,-15.477684,35.88819,25.601171,-79.479164
133,-15.591151,35.8885,25.601171,-79.479164
134,-15.704619,35.88881,25.601171,-79.479164
135,-15.818087,35.88912,25.601171,-79.479164
136,-15.931554,35.889423,25.601171,-79.479164
137,-16.045021,35.889732,25.601171,-79.479164
138,-16.15849,35.89004,25.601171,-79.479164
139,-16.271955,35.89035,25.601171,-79.479164
140,-16.385422,35.890656,25.601171,-79.479164
141,-16.49889,35.890965,25.601171,-79.479164
142,-16.612358,35.891273,25.601171,-79.479164
143,-16.725824,35.89158,25.601171,-79.479164
144,-16.839293,35.891888,25.601171,-79.479164
145,-16.952759,35.892197,25.601171,-79.479164
146,-17.066227,35.892506,25.601171,-79.479164
147,-17.179693,35.89281,25.601171,-79.479164
148,-17.293161,35.89312,25.601171,-79.479164
149,-17.406628,35.89343,25.601171,-79.479164
150,-17.520096,35.893734,25.601171,-79.479164
151,-17.633564,35.894043,25.601171,-79.479164
152,-17.74703,35.894367,25.601171,-79.479164
153,-17.860498,35.89471,25.601171,-79.479164
154,-17.973965,35.895054,25.601171,-79.479164
155,-18.087433,35.8954,25.601171,-79.479164
156,-18.2009,35.895744,25.601171,-79.479164
157,-18.314367,35.89609,25.601171,-79.479164
158,-18.427834,35.896435,25.601171,-79.479164
159,-18.541302,35.896782,25.601171,-79.479164
160,-18.65477,35.897125,25.601171,-79.479164
161,-18.768236,35.897472,25.601171,-79.479164
162,-18.881704,35.897816,25.601171,-79.479164
163,-18.99517,35.898163,25.601171,-79.479164
164,-19.108639,35.898506,25.601171,-79.479164
165,-19.222105,35.898853,25.601171,-79.479164
166,-19.335573,35.899197,25.601171,-79.479164
167,-19.44904,35.899544,25.601171,-79.479164
168,-19.562508,35.899887,25.601171,-79.479164
169,-19.675974,35.900234,25.601171,-79.479164
170,-19.789442,35.900578,25.601171,-79.479164
171,-19.90291,35.900925,25.601171,-79.479164
172,-20.016376,35.901268,25.601171,-79.479164
173,-20.129845,35.90161,25.601171,-79.479164
174,-20.24331,35.90196,25.601171,-79.479164
175,-20.35678,35.9023,25.601171,-79.479164
176,-20.470245,35.90265,25.601171,-79.479164
177,-20.583714,35.902992,25.601171,-79.479164
178,-20.69718,35.90334,25.601171,-79.479164
179,-20.810648,35.903683,25.601171,-79.479164
180,-20.924114,35.90403,25.601171,-79.479164
181,-21.037582,35.904373,25.601171,-79.479164
182,-21.15105,35.904743,25.601171,-79.479164
183,-21.264517,35.9052,25.601171,-79.479164
184,-21.377985,35.905655,25.601171,-79.479164
185,-21.491451,35.90611,25.601171,-79.479164
186,-21.60492,35.906567,25.601171,-79.479164
187,-21.718386,35.90702,25.601171,-79.479164
188,-21.831854,35.907475,25.601171,-79.479164
189,-21.94532,35.907932,25.601171,-79.479164
190,-22.058788,35.908386,25.601171,-79.479164
191,-22.172255,35.90884,25.601171,-79.479164
192,-22.285723,35.909298,25.601171,-79.479164
193,-22.39919,35.90975,25.601171,-79.479164
194,-22.512657,35.910206,25.601171,-79.479164
195,-22.626125,35.910664,25.601171,-79.479164
196,-22.739592,35.911118,25.601171,-79.479164
197,-22.85306,35.91157,25.601171,-79.479164
198,-22.966526,35.91203,25.601171,-79.479164
199,-23.079994,35.912483,25.601171,-79.479164
200,-23.19346,35.912937,25.601171,-79.479164
201,-23.306929,35.913395,25.601171,-79.479164
202,-23.420395,35.91385,25.601171,-79.479164
203,-23.533863,35.914307,25.601171,-79.479164
204,-23.647331,35.91476,25.601171,-79.479164
205,-23.760798,35.915215,25.601171,-79.479164
206,-23.874266,35.915672,25.601171,-79.479164
