,depth,pressure,temperature,glitter,salinity,U_current,V_current,W_current,buoy_height,buoy_temp,buoy_windspeed,seismic,rain,N,NE,E,SE,S,SW,W,NW,Lizzy,Perry,BentHighNick
3538,0.8148677978377122,0.18513220216228782,0.30879724100103606,0.0,0.05591215256178122,0.19510902746302464,0.28785218118616046,0.027378662228474467,0.0627079848046531,0.7278988882363671,0.4322771761974323,0.0,0,0.8972558834269025,0.9177394088642228,0.8752934518295291,0.8420210552333794,0.8423000367082961,0.8284252466692876,0.863426411033389,0.8608748195162111,0.0,0.0,0.0
3539,0.8147612775833035,0.18523872241669648,0.30845276718610637,0.0,0.05556329132066502,0.1942486346665981,0.28813779449023785,0.02775432509524174,0.0595674520011841,0.7278988882363671,0.4322771761974323,0.0,0,0.8953094401320889,0.911066326355596,0.8755713693709243,0.8425770604003443,0.8420219490827263,0.8292593394618223,0.863426411033389,0.8650454535630591,0.0,0.0,0.0
3540,0.8146547573288948,0.18534524267110516,0.3081082933711765,0.0,0.05521443007954883,0.19338824187017148,0.28842340779431525,0.028129987962008822,0.0564269191977152,0.7278988882363671,0.4322771761974323,0.0,0,0.8933629968372481,0.9043932438468768,0.8758492869123232,0.8431330655673169,0.8417438614571527,0.8300934322543686,0.863426411033389,0.8692160876099649,0.0,0.0,0.0
3541,0.8145482370744861,0.18545176292551385,0.30776381955624665,0.0,0.0548655688384288,0.19252784907374496,0.28870902109839264,0.028505650828776097,0.0532863863942462,0.7278988882363671,0.4322771761974323,0.0,0,0.8914165535424343,0.8977201613382503,0.8761272044537184,0.8436890707342818,0.8414657738315829,0.8309275250469031,0.863426411033389,0.8733867216568129,0.0,0.0,0.0
3542,0.8144417168200775,0.18555828317992254,0.30741934574131685,0.0,0.05451670759731261,0.19166745627731832,0.28899463440247003,0.0288813136955208,0.0501458535907772,0.7278988882363671,0.4322771761974323,0.0,0,0.8835492194756815,0.8979787053871862,0.8751698885353876,0.845725339565608,0.8416823468570294,0.8305247458373559,0.8641671353419152,0.8748302625095367,0.0,0.0,0.0
3543,0.8143351965656688,0.18566480343433123,0.30707487192638705,0.0,0.054167846356196404,0.19080706348089183,0.2892802477065475,0.029256976562287876,0.0470053207873083,0.7278988882363671,0.4322771761974323,0.0,0,0.8749555745939741,0.8990875463809406,0.8740610475416332,0.847943191126598,0.8419595994988383,0.8299702405537381,0.8649987236938607,0.8759392730767723,0.0,0.0,0.0
3544,0.8142286763112601,0.1857713236887399,0.3067303981114573,0.0,0.05381898511508021,0.1899466706844652,0.28956586101062604,0.02963263942905515,0.043864787983838,0.7278988882363671,0.4322771761974323,0.0,0,0.8663619297122667,0.900196387374695,0.8729522065478788,0.850161042687588,0.8422368521406471,0.8294157352701204,0.8658303120458062,0.8770482836440079,0.0,0.0,0.0
3545,0.8141221560568513,0.18587784394314857,0.30638592429652745,0.0,0.05347012387396018,0.1890862778880379,0.28985147431470343,0.03000830229582243,0.0434782608695652,0.7255903080132051,0.4322771761974323,0.0,0,0.8577682848305593,0.9013052283684492,0.8718433655541244,0.8523788942485779,0.842514104782456,0.8288612299865025,0.8666619003977516,0.8781572942112436,0.0,0.0,0.0
3546,0.8140156358024427,0.18598436419755726,0.3060414504815976,0.0,0.05312126263284399,0.18822588509161126,0.2901370876187808,0.030383965162566934,0.0434782608695652,0.7229577165306514,0.4322771761974323,0.0,0,0.8551258259618014,0.9040012200175064,0.8723215341776234,0.8520177299432529,0.8425929597009431,0.8300923062849901,0.8672952476354531,0.8784727138851915,0.0,0.0,0.0
3547,0.813909115548034,0.18609088445196595,0.3056969766666678,0.0,0.05277240139172779,0.18736549229518462,0.2904227009228582,0.03075962802933421,0.0434782608695652,0.7203251250480976,0.4322771761974323,0.0,0,0.8548487182679191,0.9073280386410618,0.8734304737188084,0.8506315131196335,0.8425929597009431,0.8320330776734779,0.8678498022003216,0.8784727138851915,0.0,0.0,0.0
3548,0.8138025952936253,0.18619740470637464,0.30535250285173793,0.0,0.0524235401506116,0.18650509949875813,0.2907083142269356,0.03113529089610129,0.0434782608695652,0.7176925335655432,0.4322771761974323,0.0,0,0.8545716105740367,0.9106548572646171,0.8745394132599935,0.8492452962960141,0.8425929597009431,0.8339738490619658,0.8684043567651901,0.8784727138851915,0.0,0.0,0.0
3549,0.8136960750392168,0.1863039249607833,0.3050080290368082,0.0,0.05207467890949157,0.1856447067023315,0.290993927531013,0.03151095376286856,0.0434782608695652,0.7150599420829894,0.4322771761974323,0.0,1,0.8542945028801544,0.9139816758881724,0.8756483528011787,0.8478590794723948,0.8425929597009431,0.8359146204504536,0.8689589113300586,0.8784727138851915,0.0,0.0,0.0
3550,0.813589554784808,0.18641044521519198,0.3046635552218784,0.0,0.051725817668375376,0.18478431390590497,0.29127954083509044,0.03188661662963584,0.0434782608695652,0.7124273506004337,0.4322771761974323,0.0,1,0.8558196534818122,0.9150586943993448,0.8755566913705144,0.8487246907520388,0.8433440825795586,0.8365053253121674,0.8684624366354169,0.8784727138851915,0.0,0.0,0.0
3551,0.8134830345303994,0.18651696546960067,0.3043190814069485,0.0,0.05137695642725918,0.18392392110947833,0.29156515413916895,0.032262279496380344,0.0434782608695652,0.7097947591178793,0.4322771761974323,0.0,1,0.8588750876360968,0.914225425069314,0.8744456089583874,0.8515023118242271,0.8447329780737819,0.8359496991479748,0.8670735411411936,0.8784727138851915,0.0,0.0,0.0
3552,0.8133765142759906,0.18662348572400936,0.30397460759201866,0.0,0.051028095186142985,0.18306352831305103,0.2918507674432464,0.03263794236314762,0.0464768657482626,0.7096757862335723,0.4322771761974323,0.0,1,0.8619305217903814,0.9133921557392832,0.8733345265462605,0.8542799328964155,0.8461218735680052,0.8353940729837822,0.8656846456469703,0.8784727138851915,0.0,0.0,0.0
3553,0.8132699940215821,0.18673000597841805,0.3036301337770888,0.0,0.05067923394502679,0.18220313551662443,0.2921363807473238,0.033013605229914894,0.0496173985517316,0.7096757862335723,0.4322771761974323,0.0,1,0.864985955944666,0.9125588864092526,0.8722234441341336,0.8570575539686038,0.8475107690622284,0.8348384468195896,0.8642957501527471,0.8784727138851915,0.0,0.0,0.0
