,Unnamed: 0,timestep,depth,Salinity,Theta,U,V,W
75,75,75,-11.782088,35.878616,26.452257,0.07163084,0.5125739,0.00018842546
76,76,76,-11.932516,35.878845,26.45144,0.07182609,0.512516,0.00018992633
77,77,77,-12.082944,35.879158,26.450056,0.072026305,0.5126479,0.00019116269
78,78,78,-12.233372,35.879555,26.448067,0.072231784,0.51298136,0.00019211805
79,79,79,-12.3838,35.87995,26.446075,0.07243726,0.5133148,0.0001930734
80,80,80,-12.534227,35.880352,26.444086,0.072642736,0.5136482,0.00019402876
81,81,81,-12.684656,35.88075,26.442097,0.072848216,0.51398164,0.00019498412
82,82,82,-12.835084,35.881145,26.440105,0.07305369,0.51431507,0.00019593947
83,83,83,-12.985512,35.881546,26.438116,0.07325917,0.5146485,0.00019689483
84,84,84,-13.13594,35.881943,26.436127,0.07346464,0.5149819,0.00019785018
85,85,85,-13.286367,35.88234,26.434135,0.07367012,0.51531535,0.00019880554
86,86,86,-13.436795,35.88274,26.432146,0.0738756,0.5156488,0.00019976089
87,87,87,-13.587223,35.883137,26.430155,0.07408107,0.5159822,0.00020071625
88,88,88,-13.737651,35.883533,26.428165,0.07428655,0.51631564,0.0002016716
89,89,89,-13.888079,35.883934,26.426176,0.07449202,0.51664907,0.00020262696
90,90,90,-14.0385065,35.88433,26.424185,0.0746975,0.5169825,0.00020358231
91,91,91,-14.188934,35.884727,26.422195,0.07490298,0.5173159,0.00020453768
92,92,92,-14.339362,35.885128,26.420206,0.07510845,0.51764935,0.00020549304
93,93,93,-14.48979,35.885525,26.418215,0.07531393,0.51798284,0.00020644839
94,94,94,-14.640218,35.88592,26.416225,0.075519405,0.51831627,0.00020740375
95,95,95,-14.790646,35.88633,26.41369,0.07570721,0.5187962,0.00020788623
96,96,96,-14.941073,35.886738,26.41096,0.07588866,0.5193289,0.0002081987
97,97,97,-15.091501,35.887146,26.408228,0.076070115,0.5198615,0.00020851118
98,98,98,-15.241929,35.887554,26.405497,0.07625157,0.52039415,0.00020882365
99,99,99,-15.392357,35.887962,26.402765,0.07643302,0.52092683,0.00020913612
100,100,100,-15.542785,35.88837,26.400034,0.07661446,0.52145946,0.0002094486
101,101,101,-15.6932125,35.88878,26.397303,0.07679591,0.52199215,0.00020976107
102,102,102,-15.84364,35.889187,26.394571,0.076977365,0.5225248,0.00021007354
103,103,103,-15.994068,35.889595,26.39184,0.077158816,0.52305746,0.00021038603
104,104,104,-16.144497,35.890003,26.389107,0.07734027,0.5235901,0.0002106985
