,depth,U
0,-0.5,-0.11043514324529757
1,-0.9280628248875243,-0.10532828157028283
2,-1.3561256497750487,-0.1002214198952681
3,-1.7841884746625731,-0.09655968494096333
4,-2.2122512995500974,-0.0943409583269942
5,-2.6403141244376216,-0.09212223171302507
6,-3.0683769493251463,-0.09043502923986124
7,-3.4964397742126705,-0.0890336320741578
8,-3.9245025991001947,-0.08763223490845437
9,-4.352565423987719,-0.08638405129247294
10,-4.780628248875243,-0.0853740539341084
11,-5.208691073762767,-0.08436405657574383
12,-5.6367538986502925,-0.08335405921737929
13,-6.064816723537817,-0.08249270304163081
14,-6.492879548425341,-0.08170610495090938
15,-6.920942373312865,-0.08091950686018796
16,-7.349005198200389,-0.08013290876946653
17,-7.777068023087914,-0.07940492905502428
18,-8.205130847975438,-0.0787561495062348
19,-8.633193672862962,-0.07810736995744531
20,-9.061256497750486,-0.07745859040865584
21,-9.48931932263801,-0.07680981085986636
22,-9.917382147525535,-0.07621350668384959
23,-10.345444972413059,-0.07565200113870851
24,-10.773507797300585,-0.07509049559356745
25,-11.20157062218811,-0.07452899004842638
26,-11.629633447075634,-0.07396748450328532
27,-12.057696271963158,-0.0734118098809153
28,-12.485759096850682,-0.07290263489134109
29,-12.913821921738206,-0.07239345990176689
30,-13.34188474662573,-0.07188428491219269
31,-13.769947571513255,-0.07137510992261849
32,-14.198010396400779,-0.07086593493304429
33,-14.626073221288303,-0.07035675994347008
34,-15.054136046175827,-0.06987266501205469
35,-15.482198871063352,-0.06939218520072238
36,-15.910261695950876,-0.06891170538939008
37,-16.3383245208384,-0.06843122557805778
38,-16.766387345725924,-0.06795074576672548
39,-17.19445017061345,-0.06747026595539317
40,-17.622512995500973,-0.06698978614406087
41,-18.0505758203885,-0.06656657092060443
42,-18.47863864527602,-0.06615702445010409
43,-18.906701470163547,-0.06574747797960374
44,-19.33476429505107,-0.0653379315091034
45,-19.762827119938596,-0.06492838503860306
46,-20.190889944826118,-0.06451883856810271
47,-20.618952769713644,-0.06410929209760237
48,-21.04701559460117,-0.06369974562710203
49,-21.475078419488693,-0.06370155365896264
50,-21.90314124437622,-0.06379499609987012
51,-22.33120406926374,-0.0638884385407776
52,-22.759266894151267,-0.06398188098168507
53,-23.18732971903879,-0.06407532342259253
54,-23.615392543926315,-0.06416876586350001
55,-24.043455368813838,-0.06426220830440749
56,-24.471518193701364,-0.06435565074531496
57,-24.899581018588886,-0.06444909318622244
58,-25.327643843476412,-0.06464350312903738
59,-25.755706668363935,-0.06486495158142966
60,-26.18376949325146,-0.06508640003382193
61,-26.611832318138983,-0.06530784848621422
62,-27.03989514302651,-0.0655292969386065
63,-27.46795796791403,-0.06575074539099877
64,-27.896020792801558,-0.06597219384339105
65,-28.324083617689084,-0.06619364229578334
66,-28.752146442576606,-0.06641509074817561
67,-29.180209267464132,-0.06663653920056789
68,-29.608272092351655,-0.06681741940532888
69,-30.03633491723918,-0.06697290682339081
70,-30.464397742126703,-0.06712839424145273
71,-30.89246056701423,-0.06728388165951465
72,-31.32052339190175,-0.06743936907757658
73,-31.748586216789278,-0.06759485649563851
74,-32.1766490416768,-0.06775034391370043
75,-32.60471186656432,-0.06790583133176235
76,-33.03277469145185,-0.06806131874982428
77,-33.460837516339375,-0.0682168061678862
78,-33.8889003412269,-0.06837229358594812
79,-34.31696316611442,-0.06854013281934537
80,-34.745025991001945,-0.0687643206704288
81,-35.17308881588947,-0.06898850852151221
82,-35.601151640777,-0.06921269637259564
