index,wave,salinity,temp
0,0.0,35.867897,26.478879928588867
1,0.1043812631811713,35.867958,26.478940435818263
2,0.2076009534551522,35.868015,26.47900094304766
3,0.3085297909344623,35.868076,26.479061450277054
4,0.4060645175045616,35.868137,26.479121957506457
5,0.4991399356420699,35.8682,26.47918246473585
6,0.5867405128038133,35.868256,26.479242971965245
7,0.6679114253044256,35.868317,26.47930347919464
8,0.7417689220014378,35.868366,26.479363986424037
9,0.8075098957999284,35.868412,26.479424493653433
10,0.8644205598861452,35.86846,26.47948500088283
11,0.9118841356004712,35.868507,26.479545508112228
12,0.9493874698523188,35.868553,26.479606015341624
13,0.9765265118402352,35.868603,26.47966652257102
14,0.9930105914377688,35.86865,26.479727029800415
15,0.9986654547999894,35.868694,26.47978753702981
16,0.993435026391394,35.868748,26.479848044259207
17,0.9773818805832224,35.8688,26.4799085514886
18,0.9506864200641172,35.86886,26.479969058718
19,0.9136447723985988,35.86891,26.480029565947397
20,0.8666654299995682,35.86897,26.480090073176793
21,0.8102646724027537,35.869022,26.48015058040619
22,0.7450608228953739,35.869076,26.480211087635585
23,0.6717674041163063,35.869133,26.48027159486498
24,0.5911852690758598,35.869186,26.480332102094376
25,0.5041937950132408,35.869255,26.480392609323776
26,0.4117412375022705,35.86934,26.48045311655317
27,0.3148343511250046,35.869423,26.480513623782567
28,0.214527390765009,35.869507,26.480574131011963
29,0.1119106140465061,35.86959,26.48063463824136
30,0.0080984105957753,35.869675,26.48069514547075
31,-0.0957828124250745,35.869762,26.48075565270015
32,-0.1986068567015183,35.869846,26.48081615992955
33,-0.299259938331459,35.86993,26.480876667158945
34,-0.3966527403513493,35.870014,26.48093717438834
35,-0.4897321819502913,35.8701,26.480997681617737
36,-0.5774927774517228,35.87027,26.481058188847133
37,-0.6589874628609608,35.870453,26.48111869607653
38,-0.7333377738063143,35.87064,26.481179203305924
39,-0.7997432659726935,35.870823,26.481239710535323
40,-0.8574900775574565,35.871006,26.48130021776472
41,-0.9059585427741408,35.87119,26.481360724994115
42,-0.9446297758850544,35.871372,26.48142123222351
43,-0.9730911565426884,35.871555,26.481481739452907
44,-0.9910406592381292,35.871742,26.481542246682302
45,-0.998289982260194,35.871925,26.481602753911694
46,-0.994766444624172,35.87211,26.481663261141097
47,-0.9805136327916104,35.87229,26.481723768370493
48,-0.9556907925274972,35.87251,26.48178427559989
49,-0.920570974782156,35.872734,26.481844782829285
50,-0.8755379578961033,35.872955,26.48190529005868
51,-0.821081981562899,35.87318,26.481965797288076
52,-0.7577943407068377,35.873405,26.482026304517472
53,-0.6863608996034074,35.87363,26.48208681174687
54,-0.6075545980612586,35.87385,26.482147318976267
55,-0.5222270321732737,35.874077,26.482207826205663
56,-0.4312992019184893,35.874302,26.48226833343506
57,-0.3357515266535629,35.874523,26.482328840664454
58,-0.2366132371809863,35.87475,26.48238934789385
59,-0.1349512595422443,35.874973,26.48244985512325
60,-0.0318587108916106,35.8752,26.482510362352645
61,0.0715568682921176,35.87542,26.48257086958204
62,0.1741854188410192,35.87565,26.482631376811437
63,0.274926276375687,35.875877,26.482691884040833
64,0.3726999658066877,35.876106,26.48275239127023
65,0.4664597505984276,35.876335,26.482812898499624
66,0.5552028134409223,35.876564,26.48287340572902
67,0.6379809491967089,35.876793,26.48293391295842
68,0.7139106564777533,35.877018,26.482994420187815
69,0.7821825208982183,35.877247,26.48305492741721
70,0.8420697908682994,35.877476,26.483115434646606
71,0.8929360556550139,35.877705,26.483175941876
72,0.9342419452400617,35.877934,26.4832364491054
73,0.9655507821450354,35.878162,26.483296956334794
74,0.986533126754168,35.878387,26.483357463564193
75,0.9969701696209028,35.878616,26.48341797079359
76,0.9967559366674246,35.878845,26.483478478022985
77,0.9858982859417524,35.879158,26.48353898525238
78,0.9645186875479383,35.879555,26.483599492481776
79,0.9328507913724492,35.87995,26.483659999711172
80,0.8912378001549743,35.880352,26.483720506940568
81,0.8401286781569965,35.88075,26.483781014169967
82,0.7800732380316144,35.881145,26.483841521399363
83,0.7117161603626597,35.881546,26.48390202862876
84,0.6357900115950079,35.881943,26.48396253585815
85,0.5531073366030389,35.88234,26.48402304308755
86,0.4645519118303666,35.88274,26.484083550316942
87,0.3710692536805977,35.883137,26.48414405754634
88,0.2736564845554969,35.883533,26.48420456477574
89,0.1733516655444666,35.883934,26.484265072005137
90,0.0712227102005706,35.88433,26.484325579234532
91,-0.0316440019609725,35.884727,26.484386086463928
92,-0.1341551906768153,35.885128,26.484446593693324
93,-0.2352222956671565,35.885525,26.48450710092272
94,-0.3337730293730013,35.88592,26.484567608152116
95,-0.4287627391820388,35.88633,26.484628115381515
96,-0.5191854589192659,35.886738,26.48468862261091
97,-0.6040845329413962,35.887146,26.484749129840303
98,-0.6825627009654056,35.887554,26.484809637069706
99,-0.7537915377269833,35.887962,26.484870144299094
100,-0.8170201486373847,35.88837,26.484930651528497
101,-0.871583030709258,35.88878,26.48499115875789
102,-0.9169070170644698,35.889187,26.48505166598729
103,-0.9525172332213768,35.889595,26.485112173216685
104,-0.978042003978314,35.890003,26.48517268044608
105,-0.9932166609496992,35.89041,26.485233187675476
106,-0.9978862125504602,35.89082,26.485293694904872
107,-0.992006850337816,35.891228,26.485354202134268
108,-0.9756462779776496,35.891636,26.485414709363663
109,-0.9489828615744528,35.892044,26.485475216593063
110,-0.9123036125570256,35.892452,26.48553572382246
111,-0.866001026615254,35.89286,26.485596231051854
112,-0.8105688142069286,35.89327,26.48565673828125
113,-0.7465965697715968,35.893677,26.485688873699733
