timestep,depth,Theta
241,-27.845621,26.145548
242,-27.959087,26.143236
243,-28.072556,26.140924
244,-28.186022,26.138613
245,-28.29949,26.136301
246,-28.412958,26.13399
247,-28.526424,26.131678
248,-28.639893,26.129366
249,-28.753359,26.127054
250,-28.866827,26.124743
251,-28.980293,26.12243
252,-29.093761,26.12012
253,-29.207228,26.117807
254,-29.320696,26.115496
255,-29.434162,26.112387
256,-29.54763,26.109062
257,-29.661098,26.105738
258,-29.774565,26.102413
259,-29.888033,26.099087
260,-30.0015,26.095762
261,-30.114967,26.092438
262,-30.228434,26.089113
263,-30.341902,26.085789
264,-30.455368,26.082462
265,-30.568836,26.079138
266,-30.682302,26.075813
267,-30.79577,26.072489
268,-30.909239,26.069164
269,-31.022705,26.065838
270,-31.136173,26.062513
271,-31.24964,26.059189
272,-31.363108,26.055864
273,-31.476574,26.05254
274,-31.590042,26.049213
275,-31.703508,26.045889
276,-31.816977,26.042564
277,-31.930443,26.03924
278,-32.04391,26.035915
279,-32.15738,26.032589
280,-32.270844,26.029264
281,-32.384315,26.02594
282,-32.49778,26.022615
283,-32.611248,26.01929
284,-32.724716,26.015965
285,-32.83818,26.01264
286,-32.95165,26.009315
287,-33.065117,26.005991
288,-33.178585,26.002666
289,-33.292053,25.99934
290,-33.405518,25.996016
291,-33.518986,25.992691
292,-33.632454,25.989367
293,-33.745922,25.986042
294,-33.859386,25.982716
295,-33.972855,25.979391
296,-34.086323,25.976067
297,-34.19979,25.972742
298,-34.313255,25.968348
299,-34.426723,25.963366
300,-34.54019,25.958384
301,-34.65366,25.953402
302,-34.767128,25.94842
303,-34.880592,25.943438
304,-34.99406,25.938456
305,-35.10753,25.933474
306,-35.220997,25.928492
307,-35.33446,25.92351
308,-35.44793,25.918528
309,-35.561398,25.913546
310,-35.674866,25.908564
311,-35.788334,25.903582
312,-35.9018,25.8986
313,-36.015266,25.893618
314,-36.128735,25.888636
315,-36.242203,25.883654
316,-36.355667,25.878672
317,-36.469135,25.87369
318,-36.582603,25.868708
319,-36.69607,25.863726
320,-36.80954,25.858744
321,-36.923004,25.853762
322,-37.036472,25.84878
323,-37.14994,25.843798
324,-37.26341,25.838816
325,-37.376873,25.833834
326,-37.49034,25.828852
327,-37.60381,25.82387
328,-37.717278,25.818888
329,-37.83074,25.813906
330,-37.94421,25.808924
331,-38.05768,25.803942
332,-38.171146,25.79896
333,-38.284615,25.793978
334,-38.39808,25.788996
335,-38.511547,25.784014
336,-38.625015,25.779032
337,-38.738483,25.77405
338,-38.851948,25.769068
339,-38.965416,25.764086
340,-39.078884,25.759104
341,-39.192352,25.754122
342,-39.30582,25.74914
343,-39.419285,25.744158
344,-39.532753,25.739176
345,-39.64622,25.734194
346,-39.75969,25.72895
347,-39.873154,25.723114
348,-39.98662,25.717276
349,-40.10009,25.711437
350,-40.21356,25.705599
351,-40.327023,25.699762
352,-40.44049,25.693924
353,-40.55396,25.688086
354,-40.667427,25.682247
355,-40.780895,25.67641
356,-40.89436,25.670572
357,-41.007828,25.664734
358,-41.121296,25.658897
359,-41.234764,25.653059
360,-41.34823,25.64722
361,-41.461697,25.641382
362,-41.575165,25.635546
363,-41.688633,25.629707
364,-41.8021,25.623869
365,-41.915565,25.61803
366,-42.029034,25.612194
367,-42.1425,25.606356
368,-42.25597,25.600517
369,-42.369434,25.59468
370,-42.482903,25.588842
371,-42.59637,25.583004
372,-42.70984,25.577166
373,-42.823303,25.57133
374,-42.93677,25.56549
375,-43.05024,25.559652
376,-43.163708,25.553814
377,-43.277176,25.547977
378,-43.39064,25.54214
379,-43.50411,25.5363
380,-43.617577,25.530462
381,-43.731045,25.524626
382,-43.84451,25.518787
383,-43.957977,25.512949
384,-44.071445,25.507113
385,-44.184914,25.501274
386,-44.29838,25.495436
387,-44.411846,25.489597
388,-44.525314,25.48376
389,-44.638783,25.477922
390,-44.75225,25.472084
391,-44.865715,25.466248
392,-44.979183,25.46041
393,-45.09265,25.45457
394,-45.20612,25.448732
395,-45.319588,25.442894
396,-45.433052,25.437057
397,-45.54652,25.43122
398,-45.65999,25.42538
399,-45.773457,25.419544
400,-45.88692,25.413883
401,-46.00039,25.408676
402,-46.113857,25.40347
403,-46.227325,25.398262
404,-46.34079,25.393055
405,-46.454258,25.387848
406,-46.567726,25.382639
407,-46.681194,25.377432
408,-46.794662,25.372225
409,-46.908127,25.367018
410,-47.021595,25.36181
411,-47.135063,25.356604
412,-47.24853,25.351397
413,-47.361996,25.34619
414,-47.475464,25.340982
415,-47.588932,25.335775
416,-47.7024,25.330566
417,-47.81587,25.32536
418,-47.929333,25.320152
419,-48.0428,25.314945
420,-48.15627,25.309738
421,-48.269737,25.304531
422,-48.3832,25.299324
423,-48.49667,25.294117
424,-48.610138,25.28891
425,-48.723606,25.283703
426,-48.83707,25.278496
427,-48.95054,25.273289
428,-49.064007,25.26808
429,-49.177475,25.262873
430,-49.290943,25.257666
431,-49.404408,25.252459
432,-49.517876,25.247252
433,-49.631344,25.242044
434,-49.744812,25.236837
435,-49.858276,25.23163
436,-49.971745,25.226423
437,-50.085213,25.221216
438,-50.19868,25.21601
439,-50.31215,25.2108
440,-50.425613,25.205593
441,-50.53908,25.200386
442,-50.65255,25.195179
443,-50.766018,25.189972
444,-50.879482,25.184765
445,-50.99295,25.179558
446,-51.10642,25.17435
447,-51.219887,25.169144
448,-51.33335,25.163937
449,-51.44682,25.15873
450,-51.560287,25.15352
451,-51.673756,25.148314
452,-51.787224,25.143106
453,-51.90069,25.1379
454,-52.014156,25.132692
455,-52.127625,25.127485
456,-52.241093,25.122278
457,-52.354557,25.117071
458,-52.468025,25.111864
459,-52.581493,25.106657
460,-52.69496,25.10149
461,-52.80843,25.097195
462,-52.921894,25.092901
463,-53.035362,25.088606
464,-53.14883,25.084312
465,-53.2623,25.080017
466,-53.375763,25.075724
467,-53.48923,25.071428
468,-53.6027,25.067135
469,-53.716167,25.06284
470,-53.829636,25.058546
471,-53.9431,25.05425
472,-54.05657,25.049957
473,-54.170036,25.045662
474,-54.283504,25.041368
475,-54.39697,25.037073
476,-54.510437,25.03278
477,-54.623905,25.028484
478,-54.737373,25.02419
479,-54.850838,25.019896
480,-54.964306,25.015602
481,-55.077774,25.011307
482,-55.191242,25.007013
483,-55.30471,25.002718
484,-55.418175,24.998425
485,-55.531643,24.99413
486,-55.64511,24.989836
487,-55.75858,24.98554
488,-55.872044,24.981247
489,-55.98551,24.976952
490,-56.09898,24.972658
491,-56.21245,24.968363
492,-56.325916,24.96407
493,-56.43938,24.959774
494,-56.55285,24.95548
495,-56.666317,24.951185
496,-56.779785,24.946892
497,-56.89325,24.942596
498,-57.006718,24.938303
499,-57.120186,24.934008
500,-57.233654,24.929714
501,-57.34712,24.925419
502,-57.460587,24.921125
503,-57.574055,24.91683
504,-57.687523,24.912537
505,-57.80099,24.908241
506,-57.914455,24.903948
507,-58.027924,24.899652
508,-58.14139,24.895359
509,-58.25486,24.891064
510,-58.368324,24.88677
511,-58.481792,24.882475
512,-58.59526,24.878181
513,-58.70873,24.873886
514,-58.822197,24.869593
515,-58.93566,24.865297
516,-59.04913,24.861004
517,-59.162598,24.856709
518,-59.276066,24.852415
519,-59.38953,24.84812
520,-59.503,24.843826
521,-59.616467,24.83953
522,-59.729935,24.835238
523,-59.843403,24.830942
524,-59.956867,24.826649
525,-60.070335,24.822353
526,-60.183804,24.81806
527,-60.29727,24.813873
528,-60.410736,24.810293
529,-60.524204,24.806711
530,-60.637672,24.803131
