CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	391     	Heart Beat.01_01-60           	   00:04:12:20	   00:04:13:06	   00:00:00:16	Unmuted
1       	392     	Heart Beat.01_01-62           	   00:04:13:08	   00:04:13:16	   00:00:00:07	Unmuted
1       	393     	Heart Beat.01_01-44           	   00:04:13:17	   00:04:14:04	   00:00:00:16	Unmuted
1       	394     	Heart Beat.01_01-02           	   00:04:14:06	   00:04:14:14	   00:00:00:07	Unmuted
1       	395     	Heart Beat.01_01-04           	   00:04:14:15	   00:04:15:01	   00:00:00:16	Unmuted
1       	396     	Heart Beat.01_01-06           	   00:04:15:03	   00:04:15:11	   00:00:00:07	Unmuted
1       	397     	Heart Beat.01_01-08           	   00:04:15:13	   00:04:15:29	   00:00:00:16	Unmuted
1       	398     	Heart Beat.01_01-10           	   00:04:16:01	   00:04:16:09	   00:00:00:07	Unmuted
1       	399     	Heart Beat.01_01-12           	   00:04:16:10	   00:04:16:27	   00:00:00:16	Unmuted
1       	400     	Heart Beat.01_01-14           	   00:04:16:29	   00:04:17:07	   00:00:00:07	Unmuted
1       	401     	Heart Beat.01_01-16           	   00:04:17:08	   00:04:17:24	   00:00:00:16	Unmuted
1       	402     	Heart Beat.01_01-18           	   00:04:17:26	   00:04:18:04	   00:00:00:07	Unmuted
1       	403     	Heart Beat.01_01-20           	   00:04:18:06	   00:04:18:22	   00:00:00:16	Unmuted
1       	404     	Heart Beat.01_01-22           	   00:04:18:24	   00:04:19:02	   00:00:00:07	Unmuted
1       	405     	Heart Beat.01_01-24           	   00:04:19:03	   00:04:19:20	   00:00:00:16	Unmuted
1       	406     	Heart Beat.01_01-26           	   00:04:19:22	   00:04:20:00	   00:00:00:07	Unmuted
1       	407     	Heart Beat.01_01-28           	   00:04:20:01	   00:04:20:18	   00:00:00:16	Unmuted
1       	408     	Heart Beat.01_01-30           	   00:04:20:20	   00:04:20:28	   00:00:00:07	Unmuted
1       	409     	Heart Beat.01_01-32           	   00:04:20:29	   00:04:21:16	   00:00:00:16	Unmuted
1       	410     	Heart Beat.01_01-34           	   00:04:21:18	   00:04:21:26	   00:00:00:07	Unmuted
1       	411     	Heart Beat.01_01-36           	   00:04:21:27	   00:04:22:13	   00:00:00:16	Unmuted
1       	412     	Heart Beat.01_01-38           	   00:04:22:15	   00:04:22:23	   00:00:00:07	Unmuted
1       	413     	Heart Beat.01_01-40           	   00:04:22:25	   00:04:23:11	   00:00:00:16	Unmuted
1       	414     	Heart Beat.01_01-42           	   00:04:23:13	   00:04:23:21	   00:00:00:07	Unmuted
1       	415     	Heart Beat.01_01-44           	   00:04:23:23	   00:04:24:09	   00:00:00:16	Unmuted
1       	416     	Heart Beat.01_01-46           	   00:04:24:11	   00:04:24:19	   00:00:00:07	Unmuted
1       	417     	Heart Beat.01_01-48           	   00:04:24:20	   00:04:25:07	   00:00:00:16	Unmuted
1       	418     	Heart Beat.01_01-50           	   00:04:25:09	   00:04:25:17	   00:00:00:07	Unmuted
1       	419     	Heart Beat.01_01-52           	   00:04:25:18	   00:04:26:05	   00:00:00:16	Unmuted
1       	420     	Heart Beat.01_01-54           	   00:04:26:07	   00:04:26:15	   00:00:00:07	Unmuted
1       	421     	Heart Beat.01_01-56           	   00:04:26:16	   00:04:27:03	   00:00:00:16	Unmuted
1       	422     	Heart Beat.01_01-58           	   00:04:27:05	   00:04:27:13	   00:00:00:07	Unmuted
1       	423     	Heart Beat.01_01-60           	   00:04:27:14	   00:04:28:01	   00:00:00:16	Unmuted
1       	424     	Heart Beat.01_01-62           	   00:04:28:03	   00:04:28:11	   00:00:00:07	Unmuted
1       	425     	Heart Beat.01_01-44           	   00:04:28:12	   00:04:28:29	   00:00:00:16	Unmuted
1       	426     	Heart Beat.01_01-02           	   00:04:29:01	   00:04:29:09	   00:00:00:07	Unmuted
1       	427     	Heart Beat.01_01-04           	   00:04:29:10	   00:04:29:27	   00:00:00:16	Unmuted
1       	428     	Heart Beat.01_01-06           	   00:04:29:29	   00:04:30:07	   00:00:00:07	Unmuted
1       	429     	Heart Beat.01_01-08           	   00:04:30:09	   00:04:30:25	   00:00:00:16	Unmuted
1       	430     	Heart Beat.01_01-10           	   00:04:30:27	   00:04:31:05	   00:00:00:07	Unmuted
1       	431     	Heart Beat.01_01-12           	   00:04:31:07	   00:04:31:23	   00:00:00:16	Unmuted
1       	432     	Heart Beat.01_01-14           	   00:04:31:25	   00:04:32:03	   00:00:00:07	Unmuted
1       	433     	Heart Beat.01_01-16           	   00:04:32:05	   00:04:32:21	   00:00:00:16	Unmuted
1       	434     	Heart Beat.01_01-18           	   00:04:32:24	   00:04:33:01	   00:00:00:07	Unmuted
1       	435     	Heart Beat.01_01-20           	   00:04:33:03	   00:04:33:19	   00:00:00:16	Unmuted
1       	436     	Heart Beat.01_01-22           	   00:04:33:22	   00:04:34:00	   00:00:00:07	Unmuted
1       	437     	Heart Beat.01_01-24           	   00:04:34:01	   00:04:34:18	   00:00:00:16	Unmuted
1       	438     	Heart Beat.01_01-26           	   00:04:34:20	   00:04:34:28	   00:00:00:07	Unmuted
1       	439     	Heart Beat.01_01-28           	   00:04:34:29	   00:04:35:16	   00:00:00:16	Unmuted
1       	440     	Heart Beat.01_01-30           	   00:04:35:18	   00:04:35:26	   00:00:00:07	Unmuted
1       	441     	Heart Beat.01_01-32           	   00:04:35:28	   00:04:36:14	   00:00:00:16	Unmuted
1       	442     	Heart Beat.01_01-34           	   00:04:36:16	   00:04:36:24	   00:00:00:07	Unmuted
1       	443     	Heart Beat.01_01-36           	   00:04:36:26	   00:04:37:12	   00:00:00:16	Unmuted
1       	444     	Heart Beat.01_01-38           	   00:04:37:15	   00:04:37:23	   00:00:00:07	Unmuted
1       	445     	Heart Beat.01_01-40           	   00:04:37:24	   00:04:38:11	   00:00:00:16	Unmuted
1       	446     	Heart Beat.01_01-42           	   00:04:38:13	   00:04:38:21	   00:00:00:07	Unmuted
1       	447     	Heart Beat.01_01-44           	   00:04:38:22	   00:04:39:09	   00:00:00:16	Unmuted
1       	448     	Heart Beat.01_01-46           	   00:04:39:11	   00:04:39:19	   00:00:00:07	Unmuted
1       	449     	Heart Beat.01_01-48           	   00:04:39:21	   00:04:40:07	   00:00:00:16	Unmuted
1       	450     	Heart Beat.01_01-50           	   00:04:40:10	   00:04:40:18	   00:00:00:07	Unmuted
1       	451     	Heart Beat.01_01-52           	   00:04:40:19	   00:04:41:06	   00:00:00:16	Unmuted
1       	452     	Heart Beat.01_01-54           	   00:04:41:08	   00:04:41:16	   00:00:00:07	Unmuted
1       	453     	Heart Beat.01_01-56           	   00:04:41:17	   00:04:42:04	   00:00:00:16	Unmuted
1       	454     	Heart Beat.01_01-58           	   00:04:42:06	   00:04:42:14	   00:00:00:07	Unmuted
1       	455     	Heart Beat.01_01-60           	   00:04:42:16	   00:04:43:02	   00:00:00:16	Unmuted
1       	456     	Heart Beat.01_01-62           	   00:04:43:05	   00:04:43:13	   00:00:00:07	Unmuted
1       	457     	Heart Beat.01_01-44           	   00:04:43:14	   00:04:44:01	   00:00:00:16	Unmuted
1       	458     	Heart Beat.01_01-02           	   00:04:44:03	   00:04:44:11	   00:00:00:07	Unmuted
1       	459     	Heart Beat.01_01-04           	   00:04:44:13	   00:04:44:29	   00:00:00:16	Unmuted
1       	460     	Heart Beat.01_01-06           	   00:04:45:02	   00:04:45:10	   00:00:00:07	Unmuted
1       	461     	Heart Beat.01_01-08           	   00:04:45:11	   00:04:45:28	   00:00:00:16	Unmuted
1       	462     	Heart Beat.01_01-10           	   00:04:46:00	   00:04:46:08	   00:00:00:07	Unmuted
1       	463     	Heart Beat.01_01-12           	   00:04:46:10	   00:04:46:26	   00:00:00:16	Unmuted
1       	464     	Heart Beat.01_01-14           	   00:04:46:29	   00:04:47:07	   00:00:00:07	Unmuted
1       	465     	Heart Beat.01_01-16           	   00:04:47:08	   00:04:47:25	   00:00:00:16	Unmuted
1       	466     	Heart Beat.01_01-18           	   00:04:47:27	   00:04:48:05	   00:00:00:07	Unmuted
1       	467     	Heart Beat.01_01-20           	   00:04:48:07	   00:04:48:24	   00:00:00:16	Unmuted
1       	468     	Heart Beat.01_01-22           	   00:04:48:26	   00:04:49:04	   00:00:00:07	Unmuted
1       	469     	Heart Beat.01_01-24           	   00:04:49:06	   00:04:49:22	   00:00:00:16	Unmuted
1       	470     	Heart Beat.01_01-26           	   00:04:49:25	   00:04:50:03	   00:00:00:07	Unmuted
1       	471     	Heart Beat.01_01-28           	   00:04:50:04	   00:04:50:21	   00:00:00:16	Unmuted
1       	472     	Heart Beat.01_01-30           	   00:04:50:23	   00:04:51:01	   00:00:00:07	Unmuted
1       	473     	Heart Beat.01_01-32           	   00:04:51:03	   00:04:51:19	   00:00:00:16	Unmuted
1       	474     	Heart Beat.01_01-34           	   00:04:51:22	   00:04:52:00	   00:00:00:07	Unmuted
1       	475     	Heart Beat.01_01-36           	   00:04:52:02	   00:04:52:18	   00:00:00:16	Unmuted
1       	476     	Heart Beat.01_01-38           	   00:04:52:21	   00:04:52:29	   00:00:00:07	Unmuted
1       	477     	Heart Beat.01_01-40           	   00:04:53:00	   00:04:53:17	   00:00:00:16	Unmuted
1       	478     	Heart Beat.01_01-42           	   00:04:53:20	   00:04:53:28	   00:00:00:07	Unmuted
1       	479     	Heart Beat.01_01-44           	   00:04:53:29	   00:04:54:16	   00:00:00:16	Unmuted
1       	480     	Heart Beat.01_01-46           	   00:04:54:18	   00:04:54:26	   00:00:00:07	Unmuted
1       	481     	Heart Beat.01_01-48           	   00:04:54:28	   00:04:55:14	   00:00:00:16	Unmuted
1       	482     	Heart Beat.01_01-50           	   00:04:55:17	   00:04:55:25	   00:00:00:07	Unmuted
1       	483     	Heart Beat.01_01-52           	   00:04:55:27	   00:04:56:13	   00:00:00:16	Unmuted
1       	484     	Heart Beat.01_01-54           	   00:04:56:16	   00:04:56:24	   00:00:00:07	Unmuted
1       	485     	Heart Beat.01_01-56           	   00:04:56:26	   00:04:57:12	   00:00:00:16	Unmuted
1       	486     	Heart Beat.01_01-58           	   00:04:57:15	   00:04:57:23	   00:00:00:07	Unmuted
1       	487     	Heart Beat.01_01-60           	   00:04:57:24	   00:04:58:11	   00:00:00:16	Unmuted
1       	488     	Heart Beat.01_01-62           	   00:04:58:14	   00:04:58:22	   00:00:00:07	Unmuted
1       	489     	Heart Beat.01_01-44           	   00:04:58:23	   00:04:59:10	   00:00:00:16	Unmuted
1       	490     	Heart Beat.01_01-02           	   00:04:59:13	   00:04:59:21	   00:00:00:07	Unmuted
1       	491     	Heart Beat.01_01-04           	   00:04:59:22	   00:05:00:09	   00:00:00:16	Unmuted
1       	492     	Heart Beat.01_01-06           	   00:05:00:12	   00:05:00:20	   00:00:00:07	Unmuted
1       	493     	Heart Beat.01_01-08           	   00:05:00:21	   00:05:01:08	   00:00:00:16	Unmuted
1       	494     	Heart Beat.01_01-10           	   00:05:01:11	   00:05:01:19	   00:00:00:07	Unmuted
1       	495     	Heart Beat.01_01-12           	   00:05:01:20	   00:05:02:07	   00:00:00:16	Unmuted
1       	496     	Heart Beat.01_01-14           	   00:05:02:10	   00:05:02:18	   00:00:00:07	Unmuted
1       	497     	Heart Beat.01_01-16           	   00:05:02:19	   00:05:03:06	   00:00:00:16	Unmuted
1       	498     	Heart Beat.01_01-18           	   00:05:03:09	   00:05:03:17	   00:00:00:07	Unmuted
1       	499     	Heart Beat.01_01-20           	   00:05:03:18	   00:05:04:05	   00:00:00:16	Unmuted
1       	500     	Heart Beat.01_01-22           	   00:05:04:08	   00:05:04:16	   00:00:00:07	Unmuted
1       	501     	Heart Beat.01_01-24           	   00:05:04:17	   00:05:05:04	   00:00:00:16	Unmuted
1       	502     	Heart Beat.01_01-26           	   00:05:05:07	   00:05:05:15	   00:00:00:07	Unmuted
