timestep,depth,W
208,-31.788992,0.0001374108
209,-31.93942,0.00013648735
210,-32.089848,0.0001355639
211,-32.240276,0.00013464043
212,-32.3907,0.000133717
213,-32.54113,0.00013279355
214,-32.69156,0.00013187008
215,-32.841988,0.00013094663
216,-32.992416,0.00013002317
217,-33.14284,0.00012909973
218,-33.29327,0.00012817628
219,-33.4437,0.00012725282
220,-33.594128,0.00012632937
221,-33.744553,0.00012540593
222,-33.89498,0.00012448247
223,-34.04541,0.00012355902
224,-34.19584,0.00012263555
225,-34.346268,0.000121838784
226,-34.496693,0.00012109468
227,-34.64712,0.00012035056
228,-34.79755,0.00011960643
229,-34.94798,0.000118862314
230,-35.098404,0.00011811821
231,-35.248833,0.00011737408
232,-35.39926,0.00011662996
233,-35.54969,0.000115885836
234,-35.700115,0.00011514173
235,-35.850544,0.00011439761
236,-36.000973,0.000113653485
237,-36.1514,0.00011290936
238,-36.301826,0.00011216526
239,-36.452255,0.00011142113
240,-36.602684,0.00011067701
241,-36.753113,0.00010993289
242,-36.903538,0.00010918878
243,-37.053967,0.000108444656
244,-37.204395,0.000107700536
245,-37.354824,0.00010695641
246,-37.50525,0.000106212305
247,-37.655678,0.000105468185
248,-37.806107,0.00010472406
249,-37.956535,0.00010397994
250,-38.10696,0.000103235834
251,-38.25739,0.00010249171
252,-38.407818,0.00010174759
253,-38.558247,0.00010100346
254,-38.70867,0.000100259356
255,-38.8591,9.951524e-05
256,-39.00953,9.877111e-05
257,-39.159958,9.802698e-05
258,-39.310387,9.7282864e-05
259,-39.46081,9.653876e-05
260,-39.61124,9.579463e-05
261,-39.76167,9.508361e-05
262,-39.912098,9.447526e-05
263,-40.062523,9.3866925e-05
264,-40.21295,9.325858e-05
265,-40.36338,9.265023e-05
266,-40.51381,9.204188e-05
267,-40.664234,9.1433554e-05
268,-40.814663,9.0825204e-05
269,-40.96509,9.0216854e-05
270,-41.11552,8.960851e-05
271,-41.265945,8.9000176e-05
272,-41.416374,8.8391826e-05
273,-41.566803,8.778348e-05
274,-41.71723,8.717513e-05
275,-41.867657,8.65668e-05
276,-42.018085,8.5958454e-05
277,-42.168514,8.5350104e-05
278,-42.318943,8.4741754e-05
279,-42.469368,8.4133426e-05
280,-42.619797,8.3525076e-05
281,-42.770226,8.2916726e-05
282,-42.920654,8.230838e-05
283,-43.07108,8.170005e-05
284,-43.221508,8.10917e-05
285,-43.371937,8.0483354e-05
286,-43.522366,7.9875004e-05
287,-43.67279,7.926667e-05
288,-43.82322,7.8658326e-05
289,-43.973648,7.8049976e-05
290,-44.124077,7.7441626e-05
291,-44.274506,7.683328e-05
292,-44.42493,7.622495e-05
293,-44.57536,7.56166e-05
294,-44.72579,7.5008254e-05
295,-44.876217,7.4399904e-05
296,-45.02664,7.379157e-05
297,-45.17707,7.3183226e-05
298,-45.3275,7.2574876e-05
299,-45.47793,7.1966526e-05
300,-45.628353,7.13582e-05
301,-45.77878,7.074985e-05
302,-45.92921,7.017988e-05
303,-46.07964,6.964933e-05
304,-46.230064,6.9118796e-05
305,-46.380493,6.858824e-05
306,-46.530922,6.805769e-05
307,-46.68135,6.7527144e-05
308,-46.831776,6.699661e-05
309,-46.982204,6.646606e-05
310,-47.132633,6.593551e-05
311,-47.283062,6.540496e-05
312,-47.433487,6.4874424e-05
313,-47.583916,6.434387e-05
314,-47.734344,6.381332e-05
315,-47.884773,6.328277e-05
316,-48.0352,6.275224e-05
317,-48.185627,6.222169e-05
318,-48.336056,6.1691135e-05
319,-48.486485,6.116059e-05
320,-48.63691,6.063005e-05
321,-48.78734,6.00995e-05
322,-48.937767,5.956895e-05
323,-49.088196,5.90384e-05
324,-49.238625,5.8507852e-05
325,-49.38905,5.7977315e-05
326,-49.53948,5.7446763e-05
327,-49.689907,5.6916215e-05
328,-49.840336,5.6385667e-05
329,-49.99076,5.585513e-05
330,-50.14119,5.5324577e-05
331,-50.29162,5.479403e-05
332,-50.442047,5.4263477e-05
333,-50.592472,5.3732943e-05
334,-50.7429,5.320239e-05
335,-50.89333,5.2671843e-05
336,-51.04376,5.214129e-05
337,-51.194183,5.1610754e-05
338,-51.344612,5.1080206e-05
339,-51.49504,5.0549657e-05
340,-51.64547,5.0019105e-05
341,-51.795895,4.9488568e-05
342,-51.946323,4.895802e-05
343,-52.096752,4.842747e-05
344,-52.24718,4.789692e-05
345,-52.397606,4.7366382e-05
346,-52.548035,4.6835834e-05
347,-52.698463,4.6309746e-05
348,-52.848892,4.5858473e-05
349,-52.999317,4.5407214e-05
350,-53.149746,4.495594e-05
351,-53.300175,4.4504668e-05
352,-53.450603,4.40534e-05
353,-53.601032,4.3602126e-05
354,-53.751457,4.3150867e-05
355,-53.901886,4.2699594e-05
356,-54.052315,4.224832e-05
357,-54.202744,4.179705e-05
358,-54.35317,4.134579e-05
359,-54.503597,4.089452e-05
360,-54.654026,4.0443247e-05
361,-54.804455,3.9991974e-05
362,-54.95488,3.9540715e-05
363,-55.10531,3.9089442e-05
364,-55.255737,3.8638173e-05
365,-55.406166,3.81869e-05
366,-55.55659,3.773564e-05
367,-55.70702,3.7284368e-05
368,-55.85745,3.6833095e-05
369,-56.007877,3.6381825e-05
370,-56.158302,3.5930563e-05
371,-56.30873,3.5479294e-05
372,-56.45916,3.502802e-05
373,-56.60959,3.457675e-05
374,-56.760014,3.412549e-05
375,-56.910442,3.3674216e-05
376,-57.06087,3.3222947e-05
377,-57.2113,3.2771677e-05
378,-57.361725,3.2320415e-05
379,-57.512154,3.1869142e-05
380,-57.662582,3.1417872e-05
381,-57.81301,3.09666e-05
382,-57.963436,3.0515339e-05
383,-58.113865,3.0064068e-05
384,-58.264294,2.9612796e-05
385,-58.414722,2.9161525e-05
386,-58.56515,2.8710252e-05
387,-58.715576,2.8258994e-05
388,-58.866005,2.780772e-05
389,-59.016434,2.735645e-05
390,-59.166862,2.6905178e-05
391,-59.317287,2.6453918e-05
392,-59.467716,2.6002646e-05
393,-59.618145,2.5551373e-05
394,-59.768574,2.5100102e-05
395,-59.919,2.4648842e-05
396,-60.069427,2.419757e-05
397,-60.219856,2.37463e-05
398,-60.370285,2.3313398e-05
399,-60.52071,2.2892742e-05
400,-60.67114,2.2472077e-05
401,-60.821568,2.2051412e-05
402,-60.971996,2.1630745e-05
403,-61.12242,2.1210091e-05
404,-61.27285,2.0789425e-05
405,-61.42328,2.036876e-05
406,-61.573708,1.9948095e-05
407,-61.724133,1.9527439e-05
408,-61.87456,1.9106774e-05
409,-62.02499,1.8686109e-05
410,-62.17542,1.8265442e-05
411,-62.325844,1.7844788e-05
412,-62.476273,1.7424121e-05
413,-62.6267,1.7003456e-05
414,-62.77713,1.6582791e-05
415,-62.927555,1.6162136e-05
416,-63.077984,1.574147e-05
417,-63.228413,1.5320806e-05
418,-63.37884,1.490014e-05
419,-63.52927,1.4479475e-05
420,-63.679695,1.405882e-05
421,-63.830124,1.3638154e-05
422,-63.980553,1.3217488e-05
423,-64.13098,1.2796823e-05
424,-64.2814,1.2376178e-05
425,-64.43184,1.1955492e-05
426,-64.58226,1.15348475e-05
427,-64.73269,1.1114182e-05
428,-64.88312,1.0693517e-05
429,-65.03355,1.0272851e-05
430,-65.183975,9.852185e-06
431,-65.334404,9.43152e-06
432,-65.48483,9.010854e-06
433,-65.63526,8.590188e-06
434,-65.78568,8.169544e-06
435,-65.93611,7.7488785e-06
436,-66.08654,7.328213e-06
437,-66.23697,6.9075477e-06
438,-66.3874,6.486882e-06
439,-66.53783,6.0662164e-06
440,-66.688255,5.645551e-06
441,-66.838684,5.224885e-06
442,-66.989105,4.804241e-06
443,-67.139534,4.3835753e-06
444,-67.28996,3.96291e-06
445,-67.44039,3.5422443e-06
446,-67.59082,3.1215786e-06
447,-67.74125,2.7009132e-06
448,-67.89168,2.2802476e-06
449,-68.04211,1.8595819e-06
450,-68.192535,1.4389163e-06
451,-68.34296,1.0182721e-06
452,-68.493385,5.976066e-07
453,-68.643814,1.7694097e-07
454,-68.79424,-2.0064726e-07
455,-68.94467,-5.6199497e-07
456,-69.0951,-9.2334267e-07
457,-69.24553,-1.2846904e-06
458,-69.39596,-1.6460381e-06
459,-69.54638,-2.0073676e-06
460,-69.69681,-2.3687153e-06
461,-69.84724,-2.730063e-06
462,-69.997665,-3.0914107e-06
463,-70.148094,-3.4527584e-06
464,-70.29852,-3.814106e-06
465,-70.44895,-4.175454e-06
466,-70.59938,-4.5368015e-06
467,-70.7498,-4.898131e-06
468,-70.90023,-5.2594787e-06
469,-71.05066,-5.6208282e-06
470,-71.20109,-5.982176e-06
471,-71.35152,-6.3435236e-06
472,-71.501945,-6.7048713e-06
473,-71.652374,-7.066219e-06
474,-71.8028,-7.4275667e-06
475,-71.953224,-7.788896e-06
476,-72.10365,-8.150244e-06
477,-72.25408,-8.511592e-06
478,-72.40451,-8.872939e-06
479,-72.55494,-9.234287e-06
480,-72.70537,-9.595636e-06
481,-72.8558,-9.956983e-06
482,-73.006226,-1.0318331e-05
483,-73.156654,-1.0679679e-05
484,-73.307076,-1.1041008e-05
485,-73.457504,-1.1402356e-05
486,-73.60793,-1.1763704e-05
487,-73.75836,-1.2125052e-05
488,-73.90879,-1.24864e-05
489,-74.05922,-1.2847748e-05
490,-74.20965,-1.3209095e-05
491,-74.36008,-1.3570443e-05
492,-74.5105,-1.3931773e-05
493,-74.66093,-1.429312e-05
494,-74.811356,-1.4654468e-05
495,-74.961784,-1.5015816e-05
496,-75.11221,-1.5377165e-05
497,-75.26264,-1.5738511e-05
498,-75.41307,-1.609986e-05
499,-75.5635,-1.6461208e-05
500,-75.71392,-1.6822538e-05
501,-75.86435,-1.7183886e-05
502,-76.01478,-1.7545233e-05
503,-76.16521,-1.7906581e-05
504,-76.315636,-1.8267929e-05
505,-76.466064,-1.8629276e-05
506,-76.61649,-1.8990624e-05
507,-76.76692,-1.9351972e-05
508,-76.91734,-1.9713301e-05
509,-77.06777,-2.0074649e-05
510,-77.2182,-2.0435997e-05
511,-77.36863,-2.0797344e-05
512,-77.51906,-2.1158692e-05
513,-77.66949,-2.1520042e-05
514,-77.819916,-2.188139e-05
515,-77.970345,-2.2235501e-05
516,-78.12077,-2.2393382e-05
517,-78.271194,-2.2551256e-05
518,-78.42162,-2.2709135e-05
519,-78.57205,-2.2867014e-05
520,-78.72248,-2.3024895e-05
521,-78.87291,-2.3182776e-05
522,-79.02334,-2.3340657e-05
523,-79.17377,-2.3498536e-05
524,-79.324196,-2.3656417e-05
525,-79.47462,-2.381429e-05
526,-79.625046,-2.397217e-05
527,-79.775475,-2.4130051e-05
528,-79.9259,-2.428793e-05
529,-80.07633,-2.444581e-05
530,-80.22676,-2.460369e-05
531,-80.37719,-2.4761572e-05
532,-80.52762,-2.4919453e-05
533,-80.67804,-2.5077323e-05
534,-80.82847,-2.5235204e-05
535,-80.9789,-2.5393085e-05
536,-81.129326,-2.5550966e-05
537,-81.279755,-2.5708845e-05
538,-81.43018,-2.5866726e-05
539,-81.58061,-2.6024605e-05
540,-81.73104,-2.6182486e-05
541,-81.88146,-2.6340358e-05
542,-82.03189,-2.649824e-05
543,-82.18232,-2.6656118e-05
544,-82.33275,-2.6814e-05
545,-82.48318,-2.697188e-05
546,-82.633606,-2.712976e-05
547,-82.784035,-2.728764e-05
548,-82.93446,-2.744552e-05
549,-83.08489,-2.76034e-05
550,-83.23531,-2.7761274e-05
551,-83.38574,-2.7919154e-05
552,-83.53617,-2.8077035e-05
553,-83.6866,-2.8234914e-05
554,-83.83703,-2.8392795e-05
555,-83.98746,-2.8550676e-05
556,-84.137886,-2.8708555e-05
557,-84.288315,-2.8866436e-05
558,-84.438736,-2.9024308e-05
559,-84.589165,-2.9182189e-05
560,-84.73959,-2.9340068e-05
561,-84.89002,-2.9497949e-05
562,-85.04045,-2.9655828e-05
563,-85.19088,-2.981371e-05
564,-85.34131,-2.997159e-05
565,-85.49174,-3.012947e-05
566,-85.64216,-3.0287343e-05
567,-85.79259,-3.0445222e-05
568,-85.943016,-3.0603103e-05
569,-86.093445,-3.0760984e-05
570,-86.24387,-3.0918865e-05
571,-86.3943,-3.1076743e-05
572,-86.54473,-3.1234624e-05
573,-86.69516,-3.1392505e-05
574,-86.84558,-3.155038e-05
575,-86.99601,-3.1708256e-05
576,-87.14644,-3.1866137e-05
577,-87.29687,-3.2024018e-05
578,-87.447296,-3.21819e-05
579,-87.597725,-3.233978e-05
580,-87.74815,-3.2497657e-05
581,-87.89858,-3.265554e-05
582,-88.04901,-3.281342e-05
583,-88.19943,-3.2940054e-05
584,-88.34986,-3.2905573e-05
585,-88.50029,-3.2871092e-05
586,-88.65072,-3.283661e-05
587,-88.80115,-3.280213e-05
588,-88.95158,-3.276765e-05
589,-89.102005,-3.273317e-05
590,-89.25243,-3.269869e-05
591,-89.402855,-3.266421e-05
592,-89.55328,-3.262973e-05
593,-89.70371,-3.259525e-05
594,-89.85414,-3.256077e-05
595,-90.00457,-3.2526288e-05
596,-90.155,-3.2491807e-05
597,-90.30543,-3.2457327e-05
598,-90.45586,-3.2422846e-05
599,-90.60628,-3.238837e-05
600,-90.75671,-3.2353888e-05
601,-90.907135,-3.2319407e-05
602,-91.05756,-3.2284926e-05
603,-91.20799,-3.2250446e-05
604,-91.35842,-3.2215965e-05
605,-91.50885,-3.2181484e-05
606,-91.65928,-3.2147003e-05
607,-91.8097,-3.2112526e-05
