,depth,current
0,-0.5,0.07796301697561797
1,-1.6165893249426924,0.08420024425966145
2,-2.7331786498853847,0.08658739548657148
3,-3.849767974828077,0.0878682953666297
4,-4.9663572997707695,0.08867298908012136
5,-6.082946624713462,0.08919219297070922
6,-7.199535949656154,0.0894250217022766
7,-8.316125274598846,0.08944556951721407
8,-9.432714599541539,0.08934970288311259
9,-10.549303924484231,0.08896199573922987
10,-11.665893249426924,0.08849970103589028
11,-12.782482574369617,0.087642574750408
12,-13.899071899312307,0.08660956837427902
13,-15.015661224255,0.08517895296841634
14,-16.132250549197693,0.08282328538063788
15,-17.248839874140387,0.08046761779285942
16,-18.365429199083078,0.07564354713122384
17,-19.48201852402577,0.06911454563879958
18,-20.598607848968463,0.06258554414637531
19,-21.715197173911154,0.05605104063978025
20,-22.831786498853848,0.049511631259715846
21,-23.94837582379654,0.04297222187965147
22,-25.064965148739233,0.03680629127931087
23,-26.181554473681924,0.035829749136497516
24,-27.298143798624615,0.03485320699368417
25,-28.41473312356731,0.03387666485087081
26,-29.53132244851,0.03288303533528945
27,-30.647911773452694,0.03180409350242319
28,-31.764501098395385,0.030725151669556937
29,-32.88109042333808,0.029646209836690682
30,-33.997679748280774,0.028567268003824423
31,-35.11426907322346,0.02763264484914838
32,-36.230858398166156,0.026738022835342858
33,-37.34744772310885,0.02584340082153733
34,-38.46403704805154,0.02494877880773181
35,-39.58062637299423,0.024054156793926283
36,-40.697215697936926,0.02349804493040881
37,-41.81380502287962,0.022992201026980696
38,-42.93039434782231,0.022486357123552583
39,-44.046983672765,0.02198051322012447
40,-45.163572997707696,0.021474669316696355
41,-46.28016232265038,0.021192076909639913
42,-47.39675164759308,0.021272550189789716
43,-48.51334097253577,0.02135302346993952
44,-49.62993029747847,0.021433496750089324
45,-50.746519622421154,0.021513970030239127
46,-51.86310894736385,0.02159444331038893
47,-52.97969827230654,0.021773489435348813
48,-54.09628759724923,0.02223389216181123
49,-55.212876922191924,0.022694294888273653
50,-56.32946624713462,0.023154697614736073
51,-57.44605557207731,0.023615100341198493
52,-58.56264489702,0.024075503067660913
53,-59.679234221962695,0.024535905794123333
54,-60.79582354690539,0.02502250244288457
55,-61.91241287184808,0.02553960630598509
56,-63.02900219679077,0.026056710169085607
57,-64.14559152173346,0.026573814032186126
58,-65.26218084667616,0.027090917895286646
59,-66.37877017161885,0.027608021758387166
60,-67.49535949656155,0.028125125621487685
61,-68.61194882150423,0.028642229484588198
62,-69.72853814644692,0.02905284718693093
63,-70.84512747138962,0.029456010723489096
64,-71.96171679633231,0.029859174260047267
65,-73.078306121275,0.030262337796605438
66,-74.1948954462177,0.03066550133316361
67,-75.3114847711604,0.03106866486972178
68,-76.42807409610307,0.03147182840627994
69,-77.54466342104577,0.03187499194283811
70,-78.66125274598846,0.03221985179392788
71,-79.77784207093116,0.032529513456250374
72,-80.89443139587385,0.03283917511857287
73,-82.01102072081655,0.03314883678089537
74,-83.12761004575924,0.03345849844321786
75,-84.24419937070192,0.03376816010554035
76,-85.36078869564462,0.03407782176786285
77,-86.47737802058731,0.03438748343018535
78,-87.59396734553,0.03469714509250784
79,-88.7105566704727,0.03503318504364263
80,-89.82714599541539,0.03539784340606542
81,-90.94373532035809,0.035762501768488206
82,-92.06032464530077,0.03612716013091099
83,-93.17691397024346,0.03649181849333377
84,-94.29350329518616,0.03685647685575656
85,-95.41009262012885,0.037221135218179345
86,-96.52668194507154,0.037585793580602135
87,-97.64327127001424,0.03795045194302492
88,-98.75986059495693,0.03831511030544771
89,-99.87644991989961,0.038748953997795696
90,-100.99303924484231,0.03926614895006122
91,-102.109628569785,0.03978334390232675
92,-103.2262178947277,0.040300538854592276
93,-104.34280721967039,0.0408177338068578
94,-105.45939654461309,0.04133492875912333
95,-106.57598586955578,0.041852123711388856
96,-107.69257519449846,0.04236931866365437
97,-108.80916451944115,0.0428865136159199
98,-109.92575384438385,0.04340370856818543
99,-111.04234316932654,0.04392090352045096
100,-112.15893249426924,0.044469213554377995
101,-113.27552181921193,0.04504856800632139
102,-114.39211114415463,0.04562792245826478
103,-115.50870046909732,0.04620727691020818
104,-116.62528979404,0.04678663136215156
105,-117.7418791189827,0.04736598581409496
106,-118.85846844392539,0.04794534026603835
107,-119.97505776886808,0.048524694717981744
108,-121.09164709381078,0.04910404916992513
109,-122.20823641875347,0.04968340362186852
110,-123.32482574369617,0.05026275807381192
111,-124.44141506863885,0.0508421125257553
112,-125.55800439358154,0.05135715728711297
113,-126.67459371852424,0.05182483622777512
114,-127.79118304346693,0.052292515168437255
115,-128.9077723684096,0.05276019410909939
116,-130.02436169335232,0.053227873049761544
117,-131.140951018295,0.05369555199042368
118,-132.2575403432377,0.05416323093108583
119,-133.3741296681804,0.05463090987174797
120,-134.4907189931231,0.055098588812410115
121,-135.60730831806578,0.05556626775307225
122,-136.72389764300846,0.05603394669373439
123,-137.84048696795116,0.05650162563439654
124,-138.95707629289384,0.05696930457505868
125,-140.07366561783655,0.05727159672101449
126,-141.19025494277923,0.05747868639405009
127,-142.30684426772194,0.0576857760670857
128,-143.42343359266462,0.0578928657401213
129,-144.5400229176073,0.058099955413156906
130,-145.65661224255,0.05830704508619251
131,-146.7732015674927,0.05851413475922811
132,-147.8897908924354,0.05872122443226372
133,-149.00638021737808,0.05892831410529932
134,-150.1229695423208,0.05913540377833493
135,-151.23955886726347,0.059342493451370534
136,-152.35614819220615,0.059549583124406134
137,-153.47273751714886,0.05975667279744174
138,-154.58932684209154,0.05996376247047734
139,-155.70591616703425,0.05997478205553076
