CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	579     	Heartbeat Tempo Mapped-36.L   	   00:03:45:05	   00:03:45:12	   00:00:00:07	Unmuted
1       	580     	Heartbeat Tempo Mapped-37.L   	   00:03:45:13	   00:03:46:01	   00:00:00:17	Unmuted
1       	581     	Heartbeat Tempo Mapped-38.L   	   00:03:46:01	   00:03:46:10	   00:00:00:08	Unmuted
1       	582     	Heartbeat Tempo Mapped-39.L   	   00:03:46:10	   00:03:46:28	   00:00:00:17	Unmuted
1       	583     	Heartbeat Tempo Mapped-40.L   	   00:03:46:28	   00:03:47:06	   00:00:00:08	Unmuted
1       	584     	Heartbeat Tempo Mapped-41.L   	   00:03:47:07	   00:03:47:07	   00:00:00:00	Unmuted
1       	585     	Heartbeat Tempo Mapped-42.L   	   00:03:47:07	   00:03:47:24	   00:00:00:17	Unmuted
1       	586     	Heartbeat Tempo Mapped-34.L   	   00:03:47:25	   00:03:48:03	   00:00:00:07	Unmuted
1       	587     	Heartbeat Tempo Mapped-35.L   	   00:03:48:03	   00:03:48:21	   00:00:00:18	Unmuted
1       	588     	Heartbeat Tempo Mapped-36.L   	   00:03:48:22	   00:03:49:00	   00:00:00:07	Unmuted
1       	589     	Heartbeat Tempo Mapped-37.L   	   00:03:49:00	   00:03:49:18	   00:00:00:17	Unmuted
1       	590     	Heartbeat Tempo Mapped-38.L   	   00:03:49:19	   00:03:49:27	   00:00:00:08	Unmuted
1       	591     	Heartbeat Tempo Mapped-39.L   	   00:03:49:28	   00:03:50:15	   00:00:00:17	Unmuted
1       	592     	Heartbeat Tempo Mapped-40.L   	   00:03:50:16	   00:03:50:24	   00:00:00:08	Unmuted
1       	593     	Heartbeat Tempo Mapped-41.L   	   00:03:50:24	   00:03:50:25	   00:00:00:00	Unmuted
1       	594     	Heartbeat Tempo Mapped-42.L   	   00:03:50:25	   00:03:51:12	   00:00:00:17	Unmuted
1       	595     	Heartbeat Tempo Mapped-34.L   	   00:03:51:13	   00:03:51:21	   00:00:00:07	Unmuted
1       	596     	Heartbeat Tempo Mapped-35.L   	   00:03:51:21	   00:03:52:09	   00:00:00:18	Unmuted
1       	597     	Heartbeat Tempo Mapped-36.L   	   00:03:52:10	   00:03:52:18	   00:00:00:07	Unmuted
1       	598     	Heartbeat Tempo Mapped-37.L   	   00:03:52:18	   00:03:53:06	   00:00:00:17	Unmuted
1       	599     	Heartbeat Tempo Mapped-38.L   	   00:03:53:07	   00:03:53:15	   00:00:00:08	Unmuted
1       	600     	Heartbeat Tempo Mapped-39.L   	   00:03:53:16	   00:03:54:03	   00:00:00:17	Unmuted
1       	601     	Heartbeat Tempo Mapped-40.L   	   00:03:54:04	   00:03:54:12	   00:00:00:08	Unmuted
1       	602     	Heartbeat Tempo Mapped-41.L   	   00:03:54:13	   00:03:54:13	   00:00:00:00	Unmuted
1       	603     	Heartbeat Tempo Mapped-42.L   	   00:03:54:13	   00:03:55:00	   00:00:00:17	Unmuted
1       	604     	Heartbeat Tempo Mapped-34.L   	   00:03:55:01	   00:03:55:09	   00:00:00:07	Unmuted
1       	605     	Heartbeat Tempo Mapped-35.L   	   00:03:55:09	   00:03:55:27	   00:00:00:18	Unmuted
1       	606     	Heartbeat Tempo Mapped-36.L   	   00:03:55:28	   00:03:56:06	   00:00:00:07	Unmuted
1       	607     	Heartbeat Tempo Mapped-37.L   	   00:03:56:07	   00:03:56:24	   00:00:00:17	Unmuted
1       	608     	Heartbeat Tempo Mapped-38.L   	   00:03:56:25	   00:03:57:04	   00:00:00:08	Unmuted
1       	609     	Heartbeat Tempo Mapped-39.L   	   00:03:57:04	   00:03:57:22	   00:00:00:17	Unmuted
1       	610     	Heartbeat Tempo Mapped-40.L   	   00:03:57:22	   00:03:58:01	   00:00:00:08	Unmuted
1       	611     	Heartbeat Tempo Mapped-41.L   	   00:03:58:01	   00:03:58:01	   00:00:00:00	Unmuted
1       	612     	Heartbeat Tempo Mapped-42.L   	   00:03:58:01	   00:03:58:19	   00:00:00:17	Unmuted
1       	613     	Heartbeat Tempo Mapped-34.L   	   00:03:58:20	   00:03:58:27	   00:00:00:07	Unmuted
1       	614     	Heartbeat Tempo Mapped-35.L   	   00:03:58:28	   00:03:59:16	   00:00:00:18	Unmuted
1       	615     	Heartbeat Tempo Mapped-36.L   	   00:03:59:17	   00:03:59:25	   00:00:00:07	Unmuted
1       	616     	Heartbeat Tempo Mapped-37.L   	   00:03:59:25	   00:04:00:13	   00:00:00:17	Unmuted
1       	617     	Heartbeat Tempo Mapped-38.L   	   00:04:00:14	   00:04:00:23	   00:00:00:08	Unmuted
1       	618     	Heartbeat Tempo Mapped-39.L   	   00:04:00:23	   00:04:01:11	   00:00:00:17	Unmuted
1       	619     	Heartbeat Tempo Mapped-40.L   	   00:04:01:11	   00:04:01:20	   00:00:00:08	Unmuted
1       	620     	Heartbeat Tempo Mapped-41.L   	   00:04:01:20	   00:04:01:20	   00:00:00:00	Unmuted
1       	621     	Heartbeat Tempo Mapped-42.L   	   00:04:01:20	   00:04:02:08	   00:00:00:17	Unmuted
1       	622     	Heartbeat Tempo Mapped-34.L   	   00:04:02:09	   00:04:02:16	   00:00:00:07	Unmuted
1       	623     	Heartbeat Tempo Mapped-35.L   	   00:04:02:17	   00:04:03:05	   00:00:00:18	Unmuted
1       	624     	Heartbeat Tempo Mapped-36.L   	   00:04:03:06	   00:04:03:14	   00:00:00:07	Unmuted
1       	625     	Heartbeat Tempo Mapped-37.L   	   00:04:03:14	   00:04:04:02	   00:00:00:17	Unmuted
1       	626     	Heartbeat Tempo Mapped-38.L   	   00:04:04:03	   00:04:04:12	   00:00:00:08	Unmuted
1       	627     	Heartbeat Tempo Mapped-39.L   	   00:04:04:12	   00:04:05:00	   00:00:00:17	Unmuted
1       	628     	Heartbeat Tempo Mapped-40.L   	   00:04:05:01	   00:04:05:09	   00:00:00:08	Unmuted
1       	629     	Heartbeat Tempo Mapped-41.L   	   00:04:05:09	   00:04:05:09	   00:00:00:00	Unmuted
1       	630     	Heartbeat Tempo Mapped-42.L   	   00:04:05:09	   00:04:05:27	   00:00:00:17	Unmuted
1       	631     	Heartbeat Tempo Mapped-34.L   	   00:04:05:28	   00:04:06:06	   00:00:00:07	Unmuted
