CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,32,Ding.L                        ,00:08:12:25,00:08:13:16,00:00:00:21,Unmuted,14785,21,0
1,33,Ding.L                        ,00:08:18:13,00:08:19:05,00:00:00:21,Unmuted,14953,21,1
1,34,Ding.L                        ,00:08:24:02,00:08:24:23,00:00:00:21,Unmuted,15122,21,0
1,35,Ding.L                        ,00:08:29:21,00:08:30:12,00:00:00:21,Unmuted,15291,21,1
1,36,Ding.L                        ,00:08:35:09,00:08:36:01,00:00:00:21,Unmuted,15459,21,0
1,37,Ding.L                        ,00:08:40:28,00:08:41:19,00:00:00:21,Unmuted,15628,21,1
1,38,Ding.L                        ,00:08:46:17,00:08:47:08,00:00:00:21,Unmuted,15797,21,0
1,39,Ding.L                        ,00:08:52:05,00:08:52:27,00:00:00:21,Unmuted,15965,21,1
1,40,Ding.L                        ,00:08:57:24,00:08:58:15,00:00:00:21,Unmuted,16134,21,0
1,41,Ding.L                        ,00:09:03:12,00:09:04:04,00:00:00:21,Muted,16302,21,1
1,42,Ding.L                        ,00:09:07:17,00:09:08:08,00:00:00:21,Unmuted,16427,21,0
1,43,Ding.L                        ,00:09:11:20,00:09:12:12,00:00:00:21,Unmuted,16550,21,1
1,44,Ding.L                        ,00:09:15:24,00:09:16:15,00:00:00:21,Unmuted,16674,21,0
1,45,Ding.L                        ,00:09:19:28,00:09:20:19,00:00:00:21,Unmuted,16798,21,1
1,46,Ding.L                        ,00:09:24:02,00:09:24:23,00:00:00:21,Unmuted,16922,21,0
1,47,Ding.L                        ,00:09:28:05,00:09:28:27,00:00:00:21,Unmuted,17045,21,1
1,48,Ding.L                        ,00:09:32:09,00:09:33:00,00:00:00:21,Unmuted,17169,21,0
1,49,Ding.L                        ,00:09:36:12,00:09:37:04,00:00:00:21,Unmuted,17292,21,1
1,50,Ding.L                        ,00:09:40:16,00:09:41:08,00:00:00:21,Unmuted,17416,21,0
1,51,Ding.L                        ,00:09:44:20,00:09:45:11,00:00:00:21,Unmuted,17540,21,1
1,52,Ding.L                        ,00:09:48:24,00:09:49:15,00:00:00:21,Unmuted,17664,21,0
1,53,Ding.L                        ,00:09:52:28,00:09:53:19,00:00:00:21,Unmuted,17788,21,1
1,54,Ding.L                        ,00:09:57:01,00:09:57:23,00:00:00:21,Unmuted,17911,21,0
1,55,Ding.L                        ,00:10:01:05,00:10:01:26,00:00:00:21,Unmuted,18035,21,1
1,56,Ding.L                        ,00:10:05:09,00:10:06:00,00:00:00:21,Unmuted,18159,21,0
1,57,Ding.L                        ,00:10:09:13,00:10:10:04,00:00:00:21,Unmuted,18283,21,1
1,58,Ding.L                        ,00:10:13:16,00:10:14:08,00:00:00:21,Unmuted,18406,21,0
1,59,Ding.L                        ,00:10:17:20,00:10:18:11,00:00:00:21,Unmuted,18530,21,1
1,60,Ding.L                        ,00:10:21:24,00:10:22:15,00:00:00:21,Unmuted,18654,21,0
1,61,Ding.L                        ,00:10:25:28,00:10:26:19,00:00:00:21,Unmuted,18778,21,1
1,62,Ding.L                        ,00:10:30:01,00:10:30:23,00:00:00:21,Unmuted,18901,21,0
1,63,Ding.L                        ,00:10:34:05,00:10:34:26,00:00:00:21,Unmuted,19025,21,1
1,64,Ding.L                        ,00:10:38:09,00:10:39:00,00:00:00:21,Unmuted,19149,21,0
1,65,Ding.L                        ,00:10:42:13,00:10:43:04,00:00:00:21,Unmuted,19273,21,1
1,66,Ding.L                        ,00:10:46:16,00:10:47:08,00:00:00:21,Unmuted,19396,21,0
1,67,Ding.L                        ,00:10:50:20,00:10:51:11,00:00:00:21,Unmuted,19520,21,1
1,68,Ding.L                        ,00:10:54:24,00:10:55:15,00:00:00:21,Unmuted,19644,21,0
1,69,Ding.L                        ,00:10:58:28,00:10:59:19,00:00:00:21,Unmuted,19768,21,1
