CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames
1       ,52.0,Breath.dup2 - From Brett.02_01-106,00:03:31:02,00:03:35:05,00:00:04:03,Unmuted,6332
1       ,53.0,Breath.dup2 - From Brett.02_01-107,00:03:35:22,00:03:39:12,00:00:03:20,Unmuted,6472
1       ,54.0,Breath.dup2 - From Brett.02_01-108,00:03:43:19,00:03:47:23,00:00:04:04,Unmuted,6709
1       ,55.0,Breath.dup2 - From Brett.02_01-110,00:03:48:04,00:03:51:26,00:00:03:22,Unmuted,6844
1       ,56.0,Breath.dup2 - From Brett.02_01-112,00:03:55:26,00:03:59:26,00:00:04:00,Unmuted,7076
1       ,57.0,Breath.dup2 - From Brett.02_01-114,00:04:00:14,00:04:04:00,00:00:03:15,Unmuted,7214
1       ,58.0,Breath.dup2 - From Brett.02_01-116,00:04:08:10,00:04:12:13,00:00:04:03,Unmuted,7450
1       ,59.0,Breath.dup2 - From Brett.02_01-118,00:04:12:23,00:04:16:06,00:00:03:13,Unmuted,7583
1       ,60.0,Breath.dup2 - From Brett.02_01-120,00:04:20:14,00:04:24:07,00:00:03:22,Unmuted,7814
1       ,61.0,Breath.dup2 - From Brett.02_01-122,00:04:24:26,00:04:28:04,00:00:03:08,Unmuted,7946
1       ,62.0,Breath.dup2 - From Brett.02_01-124,00:04:32:10,00:04:36:06,00:00:03:25,Unmuted,8170
1       ,63.0,Breath.dup2 - From Brett.02_01-126,00:04:36:16,00:04:39:28,00:00:03:12,Unmuted,8296
1       ,64.0,Breath.dup2 - From Brett.02_01-128,00:04:43:22,00:04:47:09,00:00:03:16,Unmuted,8512
1       ,65.0,Breath.dup2 - From Brett.02_01-130,00:04:47:27,00:04:50:27,00:00:02:29,Unmuted,8637
1       ,66.0,Breath.dup2 - From Brett.02_01-132,00:04:55:04,00:04:58:27,00:00:03:22,Unmuted,8854
1       ,67.0,Breath.dup2 - From Brett.02_01-134,00:04:59:15,00:05:02:28,00:00:03:12,Unmuted,8985
1       ,68.0,Breath.dup2 - From Brett.02_01-136,00:05:06:25,00:05:10:11,00:00:03:16,Unmuted,9205
1       ,69.0,Breath.dup2 - From Brett.02_01-138,00:05:11:01,00:05:14:07,00:00:03:06,Unmuted,9331
1       ,70.0,Breath.dup2 - From Brett.02_01-140,00:05:17:15,00:05:21:14,00:00:03:28,Unmuted,9525
1       ,71.0,Breath.dup2 - From Brett.02_01-142,00:05:21:25,00:05:24:26,00:00:03:00,Unmuted,9655
1       ,72.0,Breath.dup2 - From Brett.02_01-144,00:05:29:09,00:05:33:01,00:00:03:22,Unmuted,9879
1       ,73.0,Breath.dup2 - From Brett.02_01-146,00:05:33:20,00:05:37:01,00:00:03:10,Unmuted,10010
1       ,74.0,Breath.dup2 - From Brett.02_01-148,00:05:42:25,00:05:46:13,00:00:03:17,Unmuted,10285
1       ,75.0,Breath.dup2 - From Brett.02_01-150,00:05:47:13,00:05:51:00,00:00:03:17,Unmuted,10423
1       ,76.0,Breath.dup2 - From Brett.02_01-152,00:05:55:19,00:05:59:15,00:00:03:26,Unmuted,10669
1       ,77.0,Breath.dup2 - From Brett.02_01-154,00:06:00:02,00:06:03:19,00:00:03:16,Unmuted,10802
1       ,78.0,Breath.dup2 - From Brett.02_01-156,00:06:08:03,00:06:12:01,00:00:03:27,Unmuted,11043
1       ,79.0,Breath.dup2 - From Brett.02_01-158,00:06:12:28,00:06:16:17,00:00:03:18,Unmuted,11188
1       ,80.0,Breath.dup2 - From Brett.02_01-160,00:06:21:24,00:06:26:24,00:00:04:29,Unmuted,11454
1       ,81.0,Breath.dup2 - From Brett.02_01-162,00:06:27:17,00:06:31:26,00:00:04:08,Unmuted,11627
1       ,82.0,Breath.dup2 - From Brett.02_01-164,00:06:38:14,00:06:45:08,00:00:06:23,Unmuted,11954
1       ,83.0,Breath.dup2 - From Brett.02_01-166,00:06:46:04,00:06:52:11,00:00:06:06,Unmuted,12184
1       ,84.0,Breath.dup2 - From Brett.02_01-168,00:07:01:12,00:07:08:29,00:00:07:16,Unmuted,12642
1       ,85.0,Breath.dup2 - From Brett.02_01-170,00:07:11:05,00:07:18:26,00:00:07:21,Unmuted,12935
1       ,86.0,Breath.dup2 - From Brett.02_01-172,00:07:30:23,00:07:42:10,00:00:11:16,Unmuted,13523
1       ,87.0,Breath.dup2 - From Brett.02_01-174,00:07:43:21,00:07:54:26,00:00:11:05,Unmuted,13911
1       ,88.0,Breath.dup2 - From Brett.02_01-176,00:08:11:07,00:08:27:06,00:00:15:28,Unmuted,14737
1       ,89.0,Breath.dup2 - From Brett.02_01-178,00:08:30:13,00:08:47:26,00:00:17:12,Unmuted,15313
1       ,90.0,Breath.dup2 - From Brett.02_01-180,00:09:16:11,00:09:36:00,00:00:19:18,Unmuted,16691
1       ,91.0,Breath.dup2 - From Brett.02_01-182,00:09:37:13,00:09:51:10,00:00:13:27,Unmuted,17323
1       ,92.0,Breath.dup2 - From Brett.02_01-184,00:10:05:29,00:10:15:29,00:00:09:29,Unmuted,18179
1       ,93.0,Breath.dup2 - From Brett.02_01-186,00:10:17:26,00:10:27:02,00:00:09:05,Unmuted,18536
1       ,94.0,Breath.dup2 - From Brett.02_01-188,00:10:36:06,00:10:43:18,00:00:07:12,Unmuted,19086
1       ,95.0,Breath.dup2 - From Brett.02_01-190,00:10:44:08,00:10:50:23,00:00:06:15,Unmuted,19328
1       ,96.0,Breath.dup2 - From Brett.02_01-192,00:10:57:19,00:11:02:26,00:00:05:06,Unmuted,19729
1       ,97.0,Breath.dup2 - From Brett.02_01-194,00:11:04:00,00:11:09:18,00:00:05:17,Unmuted,19920
1       ,98.0,Breath.dup2 - From Brett.02_01-196,00:11:14:05,00:11:23:28,00:00:09:23,Unmuted,20225
1       ,99.0,Breath.dup2 - From Brett.02_01-198,00:11:28:16,00:11:32:27,00:00:04:10,Unmuted,20656
1       ,100.0,Breath.dup2 - From Brett.02_01-200,00:11:33:04,00:11:36:23,00:00:03:18,Unmuted,20794
1       ,101.0,Breath.dup2 - From Brett.02_01-202,00:11:39:28,00:11:44:03,00:00:04:05,Unmuted,20998
1       ,102.0,Breath.dup2 - From Brett.02_01-203,00:11:44:03,00:11:47:26,00:00:03:22,Unmuted,21123
